,date,sent_addresses,difficulty,transactions,block_size,median_transaction_value,send_usd,fee_reward,active_addresses,hashrate,confirmation_time,av_transaction_value,av_transaction_size,median_transaction_size,google_trends,market_cap,mining_profitability,tweets,top_100_percent,full_name,coin
107,2009/04/26,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
108,2009/04/27,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
109,2009/04/28,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
110,2009/04/29,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
111,2009/04/30,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
112,2009/05/01,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
113,2009/05/02,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
114,2009/05/03,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
115,2009/05/04,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
116,2009/05/05,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
117,2009/05/06,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
118,2009/05/07,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
119,2009/05/08,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
120,2009/05/09,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
121,2009/05/10,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
122,2009/05/11,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
123,2009/05/12,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
124,2009/05/13,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
125,2009/05/14,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
126,2009/05/15,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
127,2009/05/16,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
128,2009/05/17,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
129,2009/05/18,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
130,2009/05/19,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
131,2009/05/20,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
132,2009/05/21,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
133,2009/05/22,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
134,2009/05/23,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
135,2009/05/24,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
136,2009/05/25,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
137,2009/05/26,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
138,2009/05/27,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
139,2009/05/28,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
140,2009/05/29,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
141,2009/05/30,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
142,2009/05/31,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
143,2009/06/01,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
144,2009/06/02,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
145,2009/06/03,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
146,2009/06/04,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
147,2009/06/05,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
148,2009/06/06,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
149,2009/06/07,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
150,2009/06/08,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
151,2009/06/09,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
152,2009/06/10,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
153,2009/06/11,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
154,2009/06/12,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
155,2009/06/13,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
156,2009/06/14,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
157,2009/06/15,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
158,2009/06/16,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
159,2009/06/17,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
160,2009/06/18,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
161,2009/06/19,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
162,2009/06/20,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
163,2009/06/21,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
164,2009/06/22,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
165,2009/06/23,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
166,2009/06/24,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
167,2009/06/25,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
168,2009/06/26,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
169,2009/06/27,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
170,2009/06/28,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
171,2009/06/29,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
172,2009/06/30,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
173,2009/07/01,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
174,2009/07/02,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
175,2009/07/03,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
176,2009/07/04,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
177,2009/07/05,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
178,2009/07/06,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
179,2009/07/07,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
180,2009/07/08,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
181,2009/07/09,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
182,2009/07/10,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
183,2009/07/11,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
184,2009/07/12,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
185,2009/07/13,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
186,2009/07/14,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
187,2009/07/15,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
188,2009/07/16,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
189,2009/07/17,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
190,2009/07/18,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
191,2009/07/19,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
192,2009/07/20,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
193,2009/07/21,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
194,2009/07/22,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
195,2009/07/23,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
196,2009/07/24,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
197,2009/07/25,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
198,2009/07/26,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
199,2009/07/27,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
200,2009/07/28,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
201,2009/07/29,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
202,2009/07/30,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
203,2009/07/31,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
204,2009/08/01,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
205,2009/08/02,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
206,2009/08/03,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
207,2009/08/04,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
208,2009/08/05,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
209,2009/08/06,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
210,2009/08/07,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
211,2009/08/08,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
212,2009/08/09,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
213,2009/08/10,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
214,2009/08/11,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
215,2009/08/12,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
216,2009/08/13,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
217,2009/08/14,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
218,2009/08/15,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
219,2009/08/16,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
220,2009/08/17,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
221,2009/08/18,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
222,2009/08/19,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
223,2009/08/20,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
224,2009/08/21,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
225,2009/08/22,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
226,2009/08/23,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
227,2009/08/24,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
228,2009/08/25,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
229,2009/08/26,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
230,2009/08/27,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
231,2009/08/28,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
232,2009/08/29,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
233,2009/08/30,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
234,2009/08/31,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
235,2009/09/01,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
236,2009/09/02,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
237,2009/09/03,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
238,2009/09/04,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
239,2009/09/05,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
240,2009/09/06,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
241,2009/09/07,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
242,2009/09/08,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
243,2009/09/09,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
244,2009/09/10,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
245,2009/09/11,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
246,2009/09/12,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
247,2009/09/13,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
248,2009/09/14,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
249,2009/09/15,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
250,2009/09/16,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
251,2009/09/17,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
252,2009/09/18,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
253,2009/09/19,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
254,2009/09/20,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
255,2009/09/21,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
256,2009/09/22,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
257,2009/09/23,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
258,2009/09/24,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
259,2009/09/25,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
260,2009/09/26,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
261,2009/09/27,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
262,2009/09/28,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
263,2009/09/29,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
264,2009/09/30,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
