,transactions,top_100_percent,active_addresses,median_transaction_value,sent_addresses,difficulty,block_size,hashrate,mining_profitability,date,tweets,send_usd,av_transaction_size,fee_reward,confirmation_time,google_trends,median_transaction_size,av_transaction_value,market_cap,full_name,coin
113,,,,,,,,,,2014/07/31,9,,,,,,,,582606,unobtanium,unobtanium
114,,,,,,,,,,2014/08/01,8,,,,,,,,575624,unobtanium,unobtanium
115,,,,,,,,,,2014/08/02,6,,,,,,,,550973,unobtanium,unobtanium
116,,,,,,,,,,2014/08/03,1,,,,,,,,530050,unobtanium,unobtanium
117,,,,,,,,,,2014/08/04,1,,,,,,,,487927,unobtanium,unobtanium
118,,,,,,,,,,2014/08/05,19,,,,,,,,477003,unobtanium,unobtanium
119,,,,,,,,,,2014/08/06,6,,,,,,,,518493,unobtanium,unobtanium
120,,,,,,,,,,2014/08/07,2,,,,,,,,515632,unobtanium,unobtanium
121,,,,,,,,,,2014/08/08,12,,,,,,,,498341,unobtanium,unobtanium
122,,,,,,,,,,2014/08/09,13,,,,,,,,462593,unobtanium,unobtanium
123,,,,,,,,,,2014/08/10,null,,,,,,,,459652,unobtanium,unobtanium
124,,,,,,,,,,2014/08/11,16,,,,,,,,451682,unobtanium,unobtanium
125,,,,,,,,,,2014/08/12,21,,,,,,,,438868,unobtanium,unobtanium
126,,,,,,,,,,2014/08/13,5,,,,,,,,425970,unobtanium,unobtanium
127,,,,,,,,,,2014/08/14,7,,,,,,,,400718,unobtanium,unobtanium
128,,,,,,,,,,2014/08/15,7,,,,,,,,393600,unobtanium,unobtanium
129,,,,,,,,,,2014/08/16,5,,,,,,,,383630,unobtanium,unobtanium
130,,,,,,,,,,2014/08/17,1,,,,,,,,381521,unobtanium,unobtanium
131,,,,,,,,,,2014/08/18,3,,,,,,,,374377,unobtanium,unobtanium
132,,,,,,,,,,2014/08/19,2,,,,,,,,347614,unobtanium,unobtanium
133,,,,,,,,,,2014/08/20,12,,,,,,,,343244,unobtanium,unobtanium
134,,,,,,,,,,2014/08/21,null,,,,,,,,356346,unobtanium,unobtanium
135,,,,,,,,,,2014/08/22,null,,,,,,,,358010,unobtanium,unobtanium
136,,,,,,,,,,2014/08/23,null,,,,,,,,364981,unobtanium,unobtanium
137,,,,,,,,,,2014/08/24,6,,,,,,,,357885,unobtanium,unobtanium
138,,,,,,,,,,2014/08/25,2,,,,,,,,378540,unobtanium,unobtanium
139,,,,,,,,,,2014/08/26,11,,,,,,,,379447,unobtanium,unobtanium
140,,,,,,,,,,2014/08/27,11,,,,,,,,388672,unobtanium,unobtanium
141,,,,,,,,,,2014/08/28,4,,,,,,,,384876,unobtanium,unobtanium
142,,,,,,,,,,2014/08/29,2,,,,,,,,363184,unobtanium,unobtanium
143,,,,,,,,,,2014/08/30,null,,,,,,,,349362,unobtanium,unobtanium
144,,,,,,,,,,2014/08/31,7,,,,,,,,358380,unobtanium,unobtanium
145,,,,,,,,,,2014/09/01,3,,,,,,,,340533,unobtanium,unobtanium
146,,,,,,,,,,2014/09/02,3,,,,,,,,354987,unobtanium,unobtanium
147,,,,,,,,,,2014/09/03,14,,,,,,,,361795,unobtanium,unobtanium
148,,,,,,,,,,2014/09/04,9,,,,,,,,null,unobtanium,unobtanium
149,,,,,,,,,,2014/09/05,15,,,,,,,,null,unobtanium,unobtanium
150,,,,,,,,,,2014/09/06,13,,,,,,,,null,unobtanium,unobtanium
151,,,,,,,,,,2014/09/07,7,,,,,,,,null,unobtanium,unobtanium
152,,,,,,,,,,2014/09/08,10,,,,,,,,null,unobtanium,unobtanium
153,,,,,,,,,,2014/09/09,7,,,,,,,,null,unobtanium,unobtanium
154,,,,,,,,,,2014/09/10,12,,,,,,,,null,unobtanium,unobtanium
155,,,,,,,,,,2014/09/11,5,,,,,,,,null,unobtanium,unobtanium
156,,,,,,,,,,2014/09/12,9,,,,,,,,null,unobtanium,unobtanium
157,,,,,,,,,,2014/09/13,10,,,,,,,,null,unobtanium,unobtanium
158,,,,,,,,,,2014/09/14,7,,,,,,,,null,unobtanium,unobtanium
159,,,,,,,,,,2014/09/15,25,,,,,,,,null,unobtanium,unobtanium
160,,,,,,,,,,2014/09/16,51,,,,,,,,null,unobtanium,unobtanium
161,,,,,,,,,,2014/09/17,16,,,,,,,,null,unobtanium,unobtanium
162,,,,,,,,,,2014/09/18,14,,,,,,,,null,unobtanium,unobtanium
163,,,,,,,,,,2014/09/19,5,,,,,,,,null,unobtanium,unobtanium
164,,,,,,,,,,2014/09/20,1,,,,,,,,null,unobtanium,unobtanium
165,,,,,,,,,,2014/09/21,3,,,,,,,,null,unobtanium,unobtanium
166,,,,,,,,,,2014/09/22,8,,,,,,,,null,unobtanium,unobtanium
167,,,,,,,,,,2014/09/23,7,,,,,,,,null,unobtanium,unobtanium
168,,,,,,,,,,2014/09/24,9,,,,,,,,null,unobtanium,unobtanium
169,,,,,,,,,,2014/09/25,14,,,,,,,,null,unobtanium,unobtanium
170,,,,,,,,,,2014/09/26,12,,,,,,,,null,unobtanium,unobtanium
171,,,,,,,,,,2014/09/27,24,,,,,,,,null,unobtanium,unobtanium
172,,,,,,,,,,2014/09/28,28,,,,,,,,365578,unobtanium,unobtanium
173,,,,,,,,,,2014/09/29,18,,,,,,,,379912,unobtanium,unobtanium
174,,,,,,,,,,2014/09/30,37,,,,,,,,385403,unobtanium,unobtanium
175,,,,,,,,,,2014/10/01,13,,,,,,,,419849,unobtanium,unobtanium
176,,,,,,,,,,2014/10/02,24,,,,,,,,423485,unobtanium,unobtanium
177,,,,,,,,,,2014/10/03,47,,,,,,,,489131,unobtanium,unobtanium
178,,,,,,,,,,2014/10/04,31,,,,,,,,498664,unobtanium,unobtanium
179,,,,,,,,,,2014/10/05,26,,,,,,,,480871,unobtanium,unobtanium
180,,,,,,,,,,2014/10/06,31,,,,,,,,525255,unobtanium,unobtanium
181,,,,,,,,,,2014/10/07,17,,,,,,,,555737,unobtanium,unobtanium
182,,,,,,,,,,2014/10/08,40,,,,,,,,548038,unobtanium,unobtanium
183,,,,,,,,,,2014/10/09,13,,,,,,,,527144,unobtanium,unobtanium
184,,,,,,,,,,2014/10/10,14,,,,,,,,630330,unobtanium,unobtanium
185,,,,,,,,,,2014/10/11,12,,,,,,,,683150,unobtanium,unobtanium
186,,,,,,,,,,2014/10/12,19,,,,,,,,642524,unobtanium,unobtanium
187,,,,,,,,,,2014/10/13,9,,,,,,,,550557,unobtanium,unobtanium
188,,,,,,,,,,2014/10/14,7,,,,,,,,569024,unobtanium,unobtanium
189,,,,,,,,,,2014/10/15,8,,,,,,,,524267,unobtanium,unobtanium
190,,,,,,,,,,2014/10/16,12,,,,,,,,543485,unobtanium,unobtanium
191,,,,,,,,,,2014/10/17,48,,,,,,,,489573,unobtanium,unobtanium
192,,,,,,,,,,2014/10/18,17,,,,,,,,491482,unobtanium,unobtanium
193,,,,,,,,,,2014/10/19,13,,,,,,,,488917,unobtanium,unobtanium
194,,,,,,,,,,2014/10/20,11,,,,,,,,531471,unobtanium,unobtanium
