,date,transactions,block_size,active_addresses,av_transaction_size,confirmation_time,difficulty,sent_addresses,median_transaction_size,median_transaction_value,av_transaction_value,send_usd,google_trends,hashrate,fee_reward,top_100_percent,mining_profitability,market_cap,tweets,full_name,coin
108,2009/04/21,,,,,,,,,,,,,,,,,,,elacoin,elacoin
109,2009/04/22,,,,,,,,,,,,,,,,,,,elacoin,elacoin
110,2009/04/23,,,,,,,,,,,,,,,,,,,elacoin,elacoin
111,2009/04/24,,,,,,,,,,,,,,,,,,,elacoin,elacoin
112,2009/04/25,,,,,,,,,,,,,,,,,,,elacoin,elacoin
113,2009/04/26,,,,,,,,,,,,,,,,,,,elacoin,elacoin
114,2009/04/27,,,,,,,,,,,,,,,,,,,elacoin,elacoin
115,2009/04/28,,,,,,,,,,,,,,,,,,,elacoin,elacoin
116,2009/04/29,,,,,,,,,,,,,,,,,,,elacoin,elacoin
117,2009/04/30,,,,,,,,,,,,,,,,,,,elacoin,elacoin
118,2009/05/01,,,,,,,,,,,,,,,,,,,elacoin,elacoin
119,2009/05/02,,,,,,,,,,,,,,,,,,,elacoin,elacoin
120,2009/05/03,,,,,,,,,,,,,,,,,,,elacoin,elacoin
121,2009/05/04,,,,,,,,,,,,,,,,,,,elacoin,elacoin
122,2009/05/05,,,,,,,,,,,,,,,,,,,elacoin,elacoin
123,2009/05/06,,,,,,,,,,,,,,,,,,,elacoin,elacoin
124,2009/05/07,,,,,,,,,,,,,,,,,,,elacoin,elacoin
125,2009/05/08,,,,,,,,,,,,,,,,,,,elacoin,elacoin
126,2009/05/09,,,,,,,,,,,,,,,,,,,elacoin,elacoin
127,2009/05/10,,,,,,,,,,,,,,,,,,,elacoin,elacoin
128,2009/05/11,,,,,,,,,,,,,,,,,,,elacoin,elacoin
129,2009/05/12,,,,,,,,,,,,,,,,,,,elacoin,elacoin
130,2009/05/13,,,,,,,,,,,,,,,,,,,elacoin,elacoin
131,2009/05/14,,,,,,,,,,,,,,,,,,,elacoin,elacoin
132,2009/05/15,,,,,,,,,,,,,,,,,,,elacoin,elacoin
133,2009/05/16,,,,,,,,,,,,,,,,,,,elacoin,elacoin
134,2009/05/17,,,,,,,,,,,,,,,,,,,elacoin,elacoin
135,2009/05/18,,,,,,,,,,,,,,,,,,,elacoin,elacoin
136,2009/05/19,,,,,,,,,,,,,,,,,,,elacoin,elacoin
137,2009/05/20,,,,,,,,,,,,,,,,,,,elacoin,elacoin
138,2009/05/21,,,,,,,,,,,,,,,,,,,elacoin,elacoin
139,2009/05/22,,,,,,,,,,,,,,,,,,,elacoin,elacoin
140,2009/05/23,,,,,,,,,,,,,,,,,,,elacoin,elacoin
141,2009/05/24,,,,,,,,,,,,,,,,,,,elacoin,elacoin
142,2009/05/25,,,,,,,,,,,,,,,,,,,elacoin,elacoin
143,2009/05/26,,,,,,,,,,,,,,,,,,,elacoin,elacoin
144,2009/05/27,,,,,,,,,,,,,,,,,,,elacoin,elacoin
145,2009/05/28,,,,,,,,,,,,,,,,,,,elacoin,elacoin
146,2009/05/29,,,,,,,,,,,,,,,,,,,elacoin,elacoin
147,2009/05/30,,,,,,,,,,,,,,,,,,,elacoin,elacoin
148,2009/05/31,,,,,,,,,,,,,,,,,,,elacoin,elacoin
149,2009/06/01,,,,,,,,,,,,,,,,,,,elacoin,elacoin
150,2009/06/02,,,,,,,,,,,,,,,,,,,elacoin,elacoin
151,2009/06/03,,,,,,,,,,,,,,,,,,,elacoin,elacoin
152,2009/06/04,,,,,,,,,,,,,,,,,,,elacoin,elacoin
153,2009/06/05,,,,,,,,,,,,,,,,,,,elacoin,elacoin
154,2009/06/06,,,,,,,,,,,,,,,,,,,elacoin,elacoin
155,2009/06/07,,,,,,,,,,,,,,,,,,,elacoin,elacoin
