,date,transactions,difficulty,top_100_percent,av_transaction_value,median_transaction_value,send_usd,confirmation_time,sent_addresses,google_trends,market_cap,active_addresses,hashrate,median_transaction_size,fee_reward,block_size,mining_profitability,av_transaction_size,tweets,full_name,coin
91,2009/04/04,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
92,2009/04/05,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
93,2009/04/06,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
94,2009/04/07,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
95,2009/04/08,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
96,2009/04/09,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
97,2009/04/10,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
98,2009/04/11,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
99,2009/04/12,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
100,2009/04/13,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
101,2009/04/14,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
102,2009/04/15,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
103,2009/04/16,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
104,2009/04/17,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
105,2009/04/18,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
106,2009/04/19,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
107,2009/04/20,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
108,2009/04/21,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
109,2009/04/22,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
110,2009/04/23,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
111,2009/04/24,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
112,2009/04/25,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
113,2009/04/26,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
114,2009/04/27,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
115,2009/04/28,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
116,2009/04/29,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
117,2009/04/30,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
118,2009/05/01,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
119,2009/05/02,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
120,2009/05/03,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
121,2009/05/04,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
122,2009/05/05,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
123,2009/05/06,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
124,2009/05/07,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
125,2009/05/08,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
126,2009/05/09,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
127,2009/05/10,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
128,2009/05/11,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
129,2009/05/12,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
130,2009/05/13,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
131,2009/05/14,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
132,2009/05/15,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
133,2009/05/16,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
134,2009/05/17,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
135,2009/05/18,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
136,2009/05/19,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
137,2009/05/20,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
138,2009/05/21,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
139,2009/05/22,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
140,2009/05/23,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
141,2009/05/24,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
142,2009/05/25,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
143,2009/05/26,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
144,2009/05/27,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
145,2009/05/28,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
146,2009/05/29,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
147,2009/05/30,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
148,2009/05/31,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
