,date,transactions,hashrate,sent_addresses,difficulty,send_usd,mining_profitability,av_transaction_size,av_transaction_value,median_transaction_size,google_trends,median_transaction_value,top_100_percent,block_size,fee_reward,active_addresses,tweets,confirmation_time,market_cap,full_name,coin
130,2018/03/22,3925,47781176,2802,2993366,86287746,,,21984,,,5.695,,142145,,32918,null,9.863,1045385585,bitcoin gold,btg
131,2018/03/23,4081,40504771,2790,2748677,155626814,,,38134,,,4.827,,132665,,29848,null,8.834,978824049,bitcoin gold,btg
132,2018/03/24,3839,42293313,2586,2813613,31749096,,,8270,,,4.471,,130732,,18205,null,8.834,1013831283,bitcoin gold,btg
133,2018/03/25,2583,46785945,2531,2927837,6949323,,,2690,,,5.979,,68094,,20857,null,8.78,1012365642,bitcoin gold,btg
134,2018/03/26,2230,46065994,2605,2969345,13597530,,,6098,,,153.182,,43528,,8187,null,9.536,964980621,bitcoin gold,btg
135,2018/03/27,2610,40577312,2495,2727912,16612983,,,6365,,,33.673,,75441,,22408,null,9.351,909866520,bitcoin gold,btg
136,2018/03/28,2092,41566486,2308,2562114,14395884,,,6881,,,343.776,,40619,,10472,null,7.826,901775482,bitcoin gold,btg
137,2018/03/29,3526,47971424,2564,2854994,49787229,,,14120,,,48.548,,128859,,19662,null,9.796,825116661,bitcoin gold,btg
138,2018/03/30,3705,42844651,2401,2608590,2974696,,,802.887,,,2.842,,112700,,29516,null,7.66,750770107,bitcoin gold,btg
139,2018/03/31,3411,39802524,2113,2517719,6839912,,,2005,,,2.664,,121135,,31583,null,8.372,756086481,bitcoin gold,btg
140,2018/04/01,3498,42491476,2072,2726924,15905066,,,4547,,,2.271,,148989,,28083,null,10.07,710703322,bitcoin gold,btg
141,2018/04/02,3641,36906081,2333,2416614,2879602,,,790.882,,,2.103,,133127,,30419,null,7.742,711280584,bitcoin gold,btg
142,2018/04/03,3864,45139364,2392,2767427,5189324,,,1343,,,2.095,,158317,,28262,null,10.667,765344128,bitcoin gold,btg
143,2018/04/04,3545,37316683,2214,2586477,6961991,,,1964,,,1.862,,128615,,30254,null,8.78,736585930,bitcoin gold,btg
144,2018/04/05,3731,32866627,2385,2183185,7119533,,,1908,,,1.603,,110704,,28610,null,7.579,693246287,bitcoin gold,btg
145,2018/04/06,2643,45464452,2279,2538017,6690263,,,2531,,,1.478,,82176,,22939,null,9.114,679569110,bitcoin gold,btg
146,2018/04/07,1235,38147818,1944,2528102,2621465,,,2123,,,151.84,,7394,,4885,41,9.931,696843557,bitcoin gold,btg
147,2018/04/08,1235,36282041,1825,2406189,3112635,,,2520,,,154.682,,6490,,4406,39,8.571,710154648,bitcoin gold,btg
