,av_transaction_size,hashrate,date,difficulty,median_transaction_value,sent_addresses,market_cap,av_transaction_value,transactions,confirmation_time,block_size,top_100_percent,active_addresses,median_transaction_size,google_trends,fee_reward,mining_profitability,tweets,send_usd,full_name,coin
178,,,2009/06/30,,,,,,,,,,,,,,,,,namecoin,nmc
179,,,2009/07/01,,,,,,,,,,,,,,,,,namecoin,nmc
180,,,2009/07/02,,,,,,,,,,,,,,,,,namecoin,nmc
181,,,2009/07/03,,,,,,,,,,,,,,,,,namecoin,nmc
182,,,2009/07/04,,,,,,,,,,,,,,,,,namecoin,nmc
183,,,2009/07/05,,,,,,,,,,,,,,,,,namecoin,nmc
184,,,2009/07/06,,,,,,,,,,,,,,,,,namecoin,nmc
185,,,2009/07/07,,,,,,,,,,,,,,,,,namecoin,nmc
186,,,2009/07/08,,,,,,,,,,,,,,,,,namecoin,nmc
187,,,2009/07/09,,,,,,,,,,,,,,,,,namecoin,nmc
188,,,2009/07/10,,,,,,,,,,,,,,,,,namecoin,nmc
189,,,2009/07/11,,,,,,,,,,,,,,,,,namecoin,nmc
190,,,2009/07/12,,,,,,,,,,,,,,,,,namecoin,nmc
191,,,2009/07/13,,,,,,,,,,,,,,,,,namecoin,nmc
192,,,2009/07/14,,,,,,,,,,,,,,,,,namecoin,nmc
193,,,2009/07/15,,,,,,,,,,,,,,,,,namecoin,nmc
194,,,2009/07/16,,,,,,,,,,,,,,,,,namecoin,nmc
195,,,2009/07/17,,,,,,,,,,,,,,,,,namecoin,nmc
196,,,2009/07/18,,,,,,,,,,,,,,,,,namecoin,nmc
197,,,2009/07/19,,,,,,,,,,,,,,,,,namecoin,nmc
198,,,2009/07/20,,,,,,,,,,,,,,,,,namecoin,nmc
199,,,2009/07/21,,,,,,,,,,,,,,,,,namecoin,nmc
200,,,2009/07/22,,,,,,,,,,,,,,,,,namecoin,nmc
201,,,2009/07/23,,,,,,,,,,,,,,,,,namecoin,nmc
202,,,2009/07/24,,,,,,,,,,,,,,,,,namecoin,nmc
203,,,2009/07/25,,,,,,,,,,,,,,,,,namecoin,nmc
204,,,2009/07/26,,,,,,,,,,,,,,,,,namecoin,nmc
205,,,2009/07/27,,,,,,,,,,,,,,,,,namecoin,nmc
206,,,2009/07/28,,,,,,,,,,,,,,,,,namecoin,nmc
207,,,2009/07/29,,,,,,,,,,,,,,,,,namecoin,nmc
208,,,2009/07/30,,,,,,,,,,,,,,,,,namecoin,nmc
209,,,2009/07/31,,,,,,,,,,,,,,,,,namecoin,nmc
210,,,2009/08/01,,,,,,,,,,,,,,,,,namecoin,nmc
211,,,2009/08/02,,,,,,,,,,,,,,,,,namecoin,nmc
212,,,2009/08/03,,,,,,,,,,,,,,,,,namecoin,nmc
213,,,2009/08/04,,,,,,,,,,,,,,,,,namecoin,nmc
214,,,2009/08/05,,,,,,,,,,,,,,,,,namecoin,nmc
215,,,2009/08/06,,,,,,,,,,,,,,,,,namecoin,nmc
216,,,2009/08/07,,,,,,,,,,,,,,,,,namecoin,nmc
217,,,2009/08/08,,,,,,,,,,,,,,,,,namecoin,nmc
218,,,2009/08/09,,,,,,,,,,,,,,,,,namecoin,nmc
