,date,sent_addresses,transactions,market_cap,active_addresses,send_usd,block_size,difficulty,fee_reward,google_trends,mining_profitability,median_transaction_value,av_transaction_value,confirmation_time,median_transaction_size,tweets,top_100_percent,av_transaction_size,hashrate,full_name,coin
160,2009/06/18,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
161,2009/06/19,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
162,2009/06/20,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
163,2009/06/21,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
164,2009/06/22,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
165,2009/06/23,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
166,2009/06/24,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
167,2009/06/25,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
168,2009/06/26,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
169,2009/06/27,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
170,2009/06/28,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
171,2009/06/29,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
172,2009/06/30,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
173,2009/07/01,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
174,2009/07/02,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
175,2009/07/03,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
176,2009/07/04,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
177,2009/07/05,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
178,2009/07/06,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
179,2009/07/07,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
180,2009/07/08,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
181,2009/07/09,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
182,2009/07/10,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
183,2009/07/11,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
184,2009/07/12,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
185,2009/07/13,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
186,2009/07/14,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
187,2009/07/15,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
188,2009/07/16,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
189,2009/07/17,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
190,2009/07/18,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
191,2009/07/19,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
192,2009/07/20,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
