,date,block_size,av_transaction_size,av_transaction_value,market_cap,top_100_percent,confirmation_time,fee_reward,tweets,median_transaction_value,sent_addresses,hashrate,mining_profitability,transactions,google_trends,active_addresses,difficulty,send_usd,median_transaction_size,full_name,coin
96,2009/04/09,,,,,,,,,,,,,,,,,,,suncoin,suncoin
97,2009/04/10,,,,,,,,,,,,,,,,,,,suncoin,suncoin
98,2009/04/11,,,,,,,,,,,,,,,,,,,suncoin,suncoin
99,2009/04/12,,,,,,,,,,,,,,,,,,,suncoin,suncoin
100,2009/04/13,,,,,,,,,,,,,,,,,,,suncoin,suncoin
101,2009/04/14,,,,,,,,,,,,,,,,,,,suncoin,suncoin
102,2009/04/15,,,,,,,,,,,,,,,,,,,suncoin,suncoin
103,2009/04/16,,,,,,,,,,,,,,,,,,,suncoin,suncoin
104,2009/04/17,,,,,,,,,,,,,,,,,,,suncoin,suncoin
105,2009/04/18,,,,,,,,,,,,,,,,,,,suncoin,suncoin
106,2009/04/19,,,,,,,,,,,,,,,,,,,suncoin,suncoin
107,2009/04/20,,,,,,,,,,,,,,,,,,,suncoin,suncoin
108,2009/04/21,,,,,,,,,,,,,,,,,,,suncoin,suncoin
109,2009/04/22,,,,,,,,,,,,,,,,,,,suncoin,suncoin
110,2009/04/23,,,,,,,,,,,,,,,,,,,suncoin,suncoin
111,2009/04/24,,,,,,,,,,,,,,,,,,,suncoin,suncoin
112,2009/04/25,,,,,,,,,,,,,,,,,,,suncoin,suncoin
113,2009/04/26,,,,,,,,,,,,,,,,,,,suncoin,suncoin
114,2009/04/27,,,,,,,,,,,,,,,,,,,suncoin,suncoin
115,2009/04/28,,,,,,,,,,,,,,,,,,,suncoin,suncoin
116,2009/04/29,,,,,,,,,,,,,,,,,,,suncoin,suncoin
117,2009/04/30,,,,,,,,,,,,,,,,,,,suncoin,suncoin
118,2009/05/01,,,,,,,,,,,,,,,,,,,suncoin,suncoin
119,2009/05/02,,,,,,,,,,,,,,,,,,,suncoin,suncoin
120,2009/05/03,,,,,,,,,,,,,,,,,,,suncoin,suncoin
121,2009/05/04,,,,,,,,,,,,,,,,,,,suncoin,suncoin
122,2009/05/05,,,,,,,,,,,,,,,,,,,suncoin,suncoin
123,2009/05/06,,,,,,,,,,,,,,,,,,,suncoin,suncoin
124,2009/05/07,,,,,,,,,,,,,,,,,,,suncoin,suncoin
125,2009/05/08,,,,,,,,,,,,,,,,,,,suncoin,suncoin
126,2009/05/09,,,,,,,,,,,,,,,,,,,suncoin,suncoin
127,2009/05/10,,,,,,,,,,,,,,,,,,,suncoin,suncoin
128,2009/05/11,,,,,,,,,,,,,,,,,,,suncoin,suncoin
129,2009/05/12,,,,,,,,,,,,,,,,,,,suncoin,suncoin
130,2009/05/13,,,,,,,,,,,,,,,,,,,suncoin,suncoin
131,2009/05/14,,,,,,,,,,,,,,,,,,,suncoin,suncoin
132,2009/05/15,,,,,,,,,,,,,,,,,,,suncoin,suncoin
133,2009/05/16,,,,,,,,,,,,,,,,,,,suncoin,suncoin
134,2009/05/17,,,,,,,,,,,,,,,,,,,suncoin,suncoin
135,2009/05/18,,,,,,,,,,,,,,,,,,,suncoin,suncoin
136,2009/05/19,,,,,,,,,,,,,,,,,,,suncoin,suncoin
137,2009/05/20,,,,,,,,,,,,,,,,,,,suncoin,suncoin
138,2009/05/21,,,,,,,,,,,,,,,,,,,suncoin,suncoin
139,2009/05/22,,,,,,,,,,,,,,,,,,,suncoin,suncoin
140,2009/05/23,,,,,,,,,,,,,,,,,,,suncoin,suncoin
141,2009/05/24,,,,,,,,,,,,,,,,,,,suncoin,suncoin
142,2009/05/25,,,,,,,,,,,,,,,,,,,suncoin,suncoin
143,2009/05/26,,,,,,,,,,,,,,,,,,,suncoin,suncoin
144,2009/05/27,,,,,,,,,,,,,,,,,,,suncoin,suncoin
145,2009/05/28,,,,,,,,,,,,,,,,,,,suncoin,suncoin
146,2009/05/29,,,,,,,,,,,,,,,,,,,suncoin,suncoin
147,2009/05/30,,,,,,,,,,,,,,,,,,,suncoin,suncoin
148,2009/05/31,,,,,,,,,,,,,,,,,,,suncoin,suncoin
149,2009/06/01,,,,,,,,,,,,,,,,,,,suncoin,suncoin
150,2009/06/02,,,,,,,,,,,,,,,,,,,suncoin,suncoin
151,2009/06/03,,,,,,,,,,,,,,,,,,,suncoin,suncoin
152,2009/06/04,,,,,,,,,,,,,,,,,,,suncoin,suncoin
153,2009/06/05,,,,,,,,,,,,,,,,,,,suncoin,suncoin
154,2009/06/06,,,,,,,,,,,,,,,,,,,suncoin,suncoin
155,2009/06/07,,,,,,,,,,,,,,,,,,,suncoin,suncoin
156,2009/06/08,,,,,,,,,,,,,,,,,,,suncoin,suncoin
157,2009/06/09,,,,,,,,,,,,,,,,,,,suncoin,suncoin
158,2009/06/10,,,,,,,,,,,,,,,,,,,suncoin,suncoin
159,2009/06/11,,,,,,,,,,,,,,,,,,,suncoin,suncoin
160,2009/06/12,,,,,,,,,,,,,,,,,,,suncoin,suncoin
161,2009/06/13,,,,,,,,,,,,,,,,,,,suncoin,suncoin
162,2009/06/14,,,,,,,,,,,,,,,,,,,suncoin,suncoin
163,2009/06/15,,,,,,,,,,,,,,,,,,,suncoin,suncoin
164,2009/06/16,,,,,,,,,,,,,,,,,,,suncoin,suncoin
165,2009/06/17,,,,,,,,,,,,,,,,,,,suncoin,suncoin
166,2009/06/18,,,,,,,,,,,,,,,,,,,suncoin,suncoin
167,2009/06/19,,,,,,,,,,,,,,,,,,,suncoin,suncoin
168,2009/06/20,,,,,,,,,,,,,,,,,,,suncoin,suncoin
169,2009/06/21,,,,,,,,,,,,,,,,,,,suncoin,suncoin
170,2009/06/22,,,,,,,,,,,,,,,,,,,suncoin,suncoin
171,2009/06/23,,,,,,,,,,,,,,,,,,,suncoin,suncoin
172,2009/06/24,,,,,,,,,,,,,,,,,,,suncoin,suncoin
173,2009/06/25,,,,,,,,,,,,,,,,,,,suncoin,suncoin
174,2009/06/26,,,,,,,,,,,,,,,,,,,suncoin,suncoin
175,2009/06/27,,,,,,,,,,,,,,,,,,,suncoin,suncoin
176,2009/06/28,,,,,,,,,,,,,,,,,,,suncoin,suncoin
177,2009/06/29,,,,,,,,,,,,,,,,,,,suncoin,suncoin
178,2009/06/30,,,,,,,,,,,,,,,,,,,suncoin,suncoin
179,2009/07/01,,,,,,,,,,,,,,,,,,,suncoin,suncoin
180,2009/07/02,,,,,,,,,,,,,,,,,,,suncoin,suncoin
181,2009/07/03,,,,,,,,,,,,,,,,,,,suncoin,suncoin
182,2009/07/04,,,,,,,,,,,,,,,,,,,suncoin,suncoin
183,2009/07/05,,,,,,,,,,,,,,,,,,,suncoin,suncoin
184,2009/07/06,,,,,,,,,,,,,,,,,,,suncoin,suncoin
185,2009/07/07,,,,,,,,,,,,,,,,,,,suncoin,suncoin
186,2009/07/08,,,,,,,,,,,,,,,,,,,suncoin,suncoin
187,2009/07/09,,,,,,,,,,,,,,,,,,,suncoin,suncoin
188,2009/07/10,,,,,,,,,,,,,,,,,,,suncoin,suncoin
189,2009/07/11,,,,,,,,,,,,,,,,,,,suncoin,suncoin
190,2009/07/12,,,,,,,,,,,,,,,,,,,suncoin,suncoin
191,2009/07/13,,,,,,,,,,,,,,,,,,,suncoin,suncoin
192,2009/07/14,,,,,,,,,,,,,,,,,,,suncoin,suncoin
193,2009/07/15,,,,,,,,,,,,,,,,,,,suncoin,suncoin
194,2009/07/16,,,,,,,,,,,,,,,,,,,suncoin,suncoin
195,2009/07/17,,,,,,,,,,,,,,,,,,,suncoin,suncoin
196,2009/07/18,,,,,,,,,,,,,,,,,,,suncoin,suncoin
197,2009/07/19,,,,,,,,,,,,,,,,,,,suncoin,suncoin
198,2009/07/20,,,,,,,,,,,,,,,,,,,suncoin,suncoin
199,2009/07/21,,,,,,,,,,,,,,,,,,,suncoin,suncoin
200,2009/07/22,,,,,,,,,,,,,,,,,,,suncoin,suncoin
