,date,sent_addresses,block_size,transactions,difficulty,median_transaction_value,top_100_percent,send_usd,active_addresses,fee_reward,market_cap,hashrate,median_transaction_size,av_transaction_value,mining_profitability,google_trends,av_transaction_size,confirmation_time,tweets,full_name,coin
103,2009/04/22,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
104,2009/04/23,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
105,2009/04/24,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
106,2009/04/25,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
107,2009/04/26,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
108,2009/04/27,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
109,2009/04/28,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
110,2009/04/29,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
111,2009/04/30,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
112,2009/05/01,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
113,2009/05/02,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
114,2009/05/03,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
115,2009/05/04,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
116,2009/05/05,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
117,2009/05/06,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
118,2009/05/07,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
119,2009/05/08,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
120,2009/05/09,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
121,2009/05/10,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
122,2009/05/11,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
123,2009/05/12,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
124,2009/05/13,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
125,2009/05/14,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
126,2009/05/15,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
127,2009/05/16,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
128,2009/05/17,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
129,2009/05/18,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
130,2009/05/19,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
131,2009/05/20,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
132,2009/05/21,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
133,2009/05/22,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
134,2009/05/23,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
135,2009/05/24,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
136,2009/05/25,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
137,2009/05/26,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
138,2009/05/27,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
139,2009/05/28,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
140,2009/05/29,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
141,2009/05/30,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
142,2009/05/31,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
143,2009/06/01,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
144,2009/06/02,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
145,2009/06/03,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
146,2009/06/04,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
147,2009/06/05,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
148,2009/06/06,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
149,2009/06/07,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
150,2009/06/08,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
151,2009/06/09,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
152,2009/06/10,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
153,2009/06/11,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
154,2009/06/12,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
155,2009/06/13,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
156,2009/06/14,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
157,2009/06/15,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
158,2009/06/16,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
159,2009/06/17,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
160,2009/06/18,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
161,2009/06/19,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
162,2009/06/20,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
163,2009/06/21,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
164,2009/06/22,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
165,2009/06/23,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
166,2009/06/24,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
167,2009/06/25,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
168,2009/06/26,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
169,2009/06/27,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
170,2009/06/28,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
171,2009/06/29,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
172,2009/06/30,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
173,2009/07/01,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
174,2009/07/02,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
175,2009/07/03,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
176,2009/07/04,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
177,2009/07/05,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
178,2009/07/06,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
179,2009/07/07,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
180,2009/07/08,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
181,2009/07/09,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
182,2009/07/10,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
183,2009/07/11,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
184,2009/07/12,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
185,2009/07/13,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
186,2009/07/14,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
187,2009/07/15,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
188,2009/07/16,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
189,2009/07/17,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
190,2009/07/18,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
191,2009/07/19,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
192,2009/07/20,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
193,2009/07/21,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
194,2009/07/22,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
195,2009/07/23,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
196,2009/07/24,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
197,2009/07/25,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
198,2009/07/26,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
199,2009/07/27,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
200,2009/07/28,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
201,2009/07/29,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
202,2009/07/30,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
203,2009/07/31,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
204,2009/08/01,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
205,2009/08/02,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
206,2009/08/03,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
207,2009/08/04,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
208,2009/08/05,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
209,2009/08/06,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
210,2009/08/07,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
211,2009/08/08,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
212,2009/08/09,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
213,2009/08/10,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
214,2009/08/11,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
215,2009/08/12,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
216,2009/08/13,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
217,2009/08/14,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
218,2009/08/15,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
219,2009/08/16,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
220,2009/08/17,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
221,2009/08/18,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
222,2009/08/19,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
223,2009/08/20,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
224,2009/08/21,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
225,2009/08/22,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
226,2009/08/23,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
227,2009/08/24,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
228,2009/08/25,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
229,2009/08/26,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
230,2009/08/27,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
231,2009/08/28,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
232,2009/08/29,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
