,date,transactions,median_transaction_size,block_size,av_transaction_size,hashrate,market_cap,av_transaction_value,difficulty,send_usd,median_transaction_value,confirmation_time,mining_profitability,active_addresses,fee_reward,sent_addresses,top_100_percent,google_trends,tweets,full_name,coin
171,2009/06/23,,,,,,,,,,,,,,,,,,,minerals,minerals
172,2009/06/24,,,,,,,,,,,,,,,,,,,minerals,minerals
173,2009/06/25,,,,,,,,,,,,,,,,,,,minerals,minerals
174,2009/06/26,,,,,,,,,,,,,,,,,,,minerals,minerals
175,2009/06/27,,,,,,,,,,,,,,,,,,,minerals,minerals
176,2009/06/28,,,,,,,,,,,,,,,,,,,minerals,minerals
177,2009/06/29,,,,,,,,,,,,,,,,,,,minerals,minerals
178,2009/06/30,,,,,,,,,,,,,,,,,,,minerals,minerals
179,2009/07/01,,,,,,,,,,,,,,,,,,,minerals,minerals
180,2009/07/02,,,,,,,,,,,,,,,,,,,minerals,minerals
181,2009/07/03,,,,,,,,,,,,,,,,,,,minerals,minerals
182,2009/07/04,,,,,,,,,,,,,,,,,,,minerals,minerals
183,2009/07/05,,,,,,,,,,,,,,,,,,,minerals,minerals
184,2009/07/06,,,,,,,,,,,,,,,,,,,minerals,minerals
185,2009/07/07,,,,,,,,,,,,,,,,,,,minerals,minerals
186,2009/07/08,,,,,,,,,,,,,,,,,,,minerals,minerals
187,2009/07/09,,,,,,,,,,,,,,,,,,,minerals,minerals
188,2009/07/10,,,,,,,,,,,,,,,,,,,minerals,minerals
189,2009/07/11,,,,,,,,,,,,,,,,,,,minerals,minerals
190,2009/07/12,,,,,,,,,,,,,,,,,,,minerals,minerals
191,2009/07/13,,,,,,,,,,,,,,,,,,,minerals,minerals
192,2009/07/14,,,,,,,,,,,,,,,,,,,minerals,minerals
193,2009/07/15,,,,,,,,,,,,,,,,,,,minerals,minerals
194,2009/07/16,,,,,,,,,,,,,,,,,,,minerals,minerals
195,2009/07/17,,,,,,,,,,,,,,,,,,,minerals,minerals
196,2009/07/18,,,,,,,,,,,,,,,,,,,minerals,minerals
197,2009/07/19,,,,,,,,,,,,,,,,,,,minerals,minerals
198,2009/07/20,,,,,,,,,,,,,,,,,,,minerals,minerals
199,2009/07/21,,,,,,,,,,,,,,,,,,,minerals,minerals
200,2009/07/22,,,,,,,,,,,,,,,,,,,minerals,minerals
201,2009/07/23,,,,,,,,,,,,,,,,,,,minerals,minerals
202,2009/07/24,,,,,,,,,,,,,,,,,,,minerals,minerals
203,2009/07/25,,,,,,,,,,,,,,,,,,,minerals,minerals
204,2009/07/26,,,,,,,,,,,,,,,,,,,minerals,minerals
205,2009/07/27,,,,,,,,,,,,,,,,,,,minerals,minerals
206,2009/07/28,,,,,,,,,,,,,,,,,,,minerals,minerals
207,2009/07/29,,,,,,,,,,,,,,,,,,,minerals,minerals
208,2009/07/30,,,,,,,,,,,,,,,,,,,minerals,minerals
209,2009/07/31,,,,,,,,,,,,,,,,,,,minerals,minerals
210,2009/08/01,,,,,,,,,,,,,,,,,,,minerals,minerals
211,2009/08/02,,,,,,,,,,,,,,,,,,,minerals,minerals
212,2009/08/03,,,,,,,,,,,,,,,,,,,minerals,minerals
213,2009/08/04,,,,,,,,,,,,,,,,,,,minerals,minerals
214,2009/08/05,,,,,,,,,,,,,,,,,,,minerals,minerals
215,2009/08/06,,,,,,,,,,,,,,,,,,,minerals,minerals
216,2009/08/07,,,,,,,,,,,,,,,,,,,minerals,minerals
217,2009/08/08,,,,,,,,,,,,,,,,,,,minerals,minerals
218,2009/08/09,,,,,,,,,,,,,,,,,,,minerals,minerals
219,2009/08/10,,,,,,,,,,,,,,,,,,,minerals,minerals
220,2009/08/11,,,,,,,,,,,,,,,,,,,minerals,minerals
221,2009/08/12,,,,,,,,,,,,,,,,,,,minerals,minerals
222,2009/08/13,,,,,,,,,,,,,,,,,,,minerals,minerals
223,2009/08/14,,,,,,,,,,,,,,,,,,,minerals,minerals
224,2009/08/15,,,,,,,,,,,,,,,,,,,minerals,minerals
225,2009/08/16,,,,,,,,,,,,,,,,,,,minerals,minerals
226,2009/08/17,,,,,,,,,,,,,,,,,,,minerals,minerals
227,2009/08/18,,,,,,,,,,,,,,,,,,,minerals,minerals
228,2009/08/19,,,,,,,,,,,,,,,,,,,minerals,minerals
229,2009/08/20,,,,,,,,,,,,,,,,,,,minerals,minerals
230,2009/08/21,,,,,,,,,,,,,,,,,,,minerals,minerals
231,2009/08/22,,,,,,,,,,,,,,,,,,,minerals,minerals
232,2009/08/23,,,,,,,,,,,,,,,,,,,minerals,minerals
233,2009/08/24,,,,,,,,,,,,,,,,,,,minerals,minerals
234,2009/08/25,,,,,,,,,,,,,,,,,,,minerals,minerals
235,2009/08/26,,,,,,,,,,,,,,,,,,,minerals,minerals
236,2009/08/27,,,,,,,,,,,,,,,,,,,minerals,minerals
237,2009/08/28,,,,,,,,,,,,,,,,,,,minerals,minerals
238,2009/08/29,,,,,,,,,,,,,,,,,,,minerals,minerals
239,2009/08/30,,,,,,,,,,,,,,,,,,,minerals,minerals
240,2009/08/31,,,,,,,,,,,,,,,,,,,minerals,minerals
241,2009/09/01,,,,,,,,,,,,,,,,,,,minerals,minerals
242,2009/09/02,,,,,,,,,,,,,,,,,,,minerals,minerals
243,2009/09/03,,,,,,,,,,,,,,,,,,,minerals,minerals
244,2009/09/04,,,,,,,,,,,,,,,,,,,minerals,minerals
245,2009/09/05,,,,,,,,,,,,,,,,,,,minerals,minerals
246,2009/09/06,,,,,,,,,,,,,,,,,,,minerals,minerals
247,2009/09/07,,,,,,,,,,,,,,,,,,,minerals,minerals
248,2009/09/08,,,,,,,,,,,,,,,,,,,minerals,minerals
249,2009/09/09,,,,,,,,,,,,,,,,,,,minerals,minerals
250,2009/09/10,,,,,,,,,,,,,,,,,,,minerals,minerals
251,2009/09/11,,,,,,,,,,,,,,,,,,,minerals,minerals
252,2009/09/12,,,,,,,,,,,,,,,,,,,minerals,minerals
253,2009/09/13,,,,,,,,,,,,,,,,,,,minerals,minerals
254,2009/09/14,,,,,,,,,,,,,,,,,,,minerals,minerals
255,2009/09/15,,,,,,,,,,,,,,,,,,,minerals,minerals
256,2009/09/16,,,,,,,,,,,,,,,,,,,minerals,minerals
257,2009/09/17,,,,,,,,,,,,,,,,,,,minerals,minerals
258,2009/09/18,,,,,,,,,,,,,,,,,,,minerals,minerals
259,2009/09/19,,,,,,,,,,,,,,,,,,,minerals,minerals
260,2009/09/20,,,,,,,,,,,,,,,,,,,minerals,minerals
261,2009/09/21,,,,,,,,,,,,,,,,,,,minerals,minerals
