,date,send_usd,sent_addresses,difficulty,active_addresses,fee_reward,median_transaction_size,transactions,market_cap,av_transaction_value,mining_profitability,block_size,av_transaction_size,top_100_percent,confirmation_time,tweets,google_trends,hashrate,median_transaction_value,full_name,coin
67,2010/09/22,2782nullnull,782nullnull,917.831nullnull,1039nullnull,,,499nullnull,252735nullnull,4.133nullnull,,1163nullnull,,,,,,,,novacoin,nvc
68,2010/09/23,7875nullnull,663nullnull,917.831nullnull,1049nullnull,,,421nullnull,253093nullnull,12.023nullnull,,752.632nullnull,,,,,,,,novacoin,nvc
69,2010/09/24,1202nullnull,530nullnull,917.831nullnull,807nullnull,,,273nullnull,253576nullnull,2.399nullnull,,532.197nullnull,,,,,,,,novacoin,nvc
70,2010/09/25,1860nullnull,563nullnull,917.831nullnull,825nullnull,,,325nullnull,254162nullnull,3.497nullnull,,696.256nullnull,,,,,,,,novacoin,nvc
71,2010/09/26,1394nullnull,387nullnull,917.831nullnull,623nullnull,,,195nullnull,254415nullnull,3.486nullnull,,504.649nullnull,,,,,,,,novacoin,nvc
72,2010/09/27,2073nullnull,649nullnull,917.831nullnull,1269nullnull,,,374nullnull,255503nullnull,3.439nullnull,,876.672nullnull,,,,,,,,novacoin,nvc
73,2010/09/28,5058nullnull,429nullnull,978.335nullnull,1699nullnull,,,279nullnull,255390nullnull,10.302nullnull,,1141nullnull,,,,,,,,novacoin,nvc
74,2010/09/29,5825nullnull,912nullnull,1319nullnull,1198nullnull,,,811nullnull,256150nullnull,5.974nullnull,,2119nullnull,,,,,,,,novacoin,nvc
75,2010/09/30,2573nullnull,380nullnull,1319nullnull,638nullnull,,,219nullnull,256099nullnull,7.048nullnull,,671.959nullnull,,,,,,,,novacoin,nvc
76,2010/10/01,3609nullnull,613nullnull,1319nullnull,847nullnull,,,430nullnull,257006nullnull,6.181nullnull,,1024nullnull,,,,,,,,novacoin,nvc
77,2010/10/02,22430nullnull,561nullnull,1319nullnull,780nullnull,,,401nullnull,256278nullnull,44.77nullnull,,1736nullnull,,,,,,,,novacoin,nvc
78,2010/10/03,4640nullnull,455nullnull,1319nullnull,672nullnull,,,255nullnull,254983nullnull,12.309nullnull,,857.459nullnull,,,,,,,,novacoin,nvc
79,2010/10/04,34053nullnull,456nullnull,1319nullnull,828nullnull,,,254nullnull,255315nullnull,83.668nullnull,,831.601nullnull,,,,,,,,novacoin,nvc
80,2010/10/05,11895nullnull,454nullnull,1319nullnull,704nullnull,,,245nullnull,256431nullnull,32.061nullnull,,920.071nullnull,,,,,,,,novacoin,nvc
81,2010/10/06,7552nullnull,435nullnull,1319nullnull,692nullnull,,,236nullnull,259976nullnull,18.555nullnull,,629.673nullnull,,,,,,,,novacoin,nvc
82,2010/10/07,8292nullnull,347nullnull,1319nullnull,647nullnull,,,180nullnull,272850nullnull,24.387nullnull,,587.513nullnull,,,,,,,,novacoin,nvc
