,date,block_size,median_transaction_size,median_transaction_value,market_cap,hashrate,top_100_percent,transactions,active_addresses,fee_reward,sent_addresses,tweets,difficulty,confirmation_time,send_usd,av_transaction_value,google_trends,mining_profitability,av_transaction_size,full_name,coin
193,2009/07/15,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
194,2009/07/16,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
195,2009/07/17,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
196,2009/07/18,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
197,2009/07/19,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
198,2009/07/20,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
199,2009/07/21,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
200,2009/07/22,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
201,2009/07/23,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
202,2009/07/24,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
203,2009/07/25,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
204,2009/07/26,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
205,2009/07/27,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
206,2009/07/28,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
207,2009/07/29,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
208,2009/07/30,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
209,2009/07/31,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
210,2009/08/01,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
211,2009/08/02,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
212,2009/08/03,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
213,2009/08/04,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
214,2009/08/05,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
215,2009/08/06,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
216,2009/08/07,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
217,2009/08/08,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
218,2009/08/09,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
219,2009/08/10,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
220,2009/08/11,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
221,2009/08/12,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
222,2009/08/13,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
223,2009/08/14,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
224,2009/08/15,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
225,2009/08/16,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
226,2009/08/17,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
227,2009/08/18,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
228,2009/08/19,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
229,2009/08/20,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
230,2009/08/21,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
231,2009/08/22,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
232,2009/08/23,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
233,2009/08/24,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
234,2009/08/25,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
235,2009/08/26,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
236,2009/08/27,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
237,2009/08/28,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
238,2009/08/29,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
239,2009/08/30,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
240,2009/08/31,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
241,2009/09/01,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
242,2009/09/02,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
243,2009/09/03,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
244,2009/09/04,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
245,2009/09/05,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
246,2009/09/06,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
247,2009/09/07,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
248,2009/09/08,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
249,2009/09/09,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
250,2009/09/10,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
251,2009/09/11,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
252,2009/09/12,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
253,2009/09/13,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
254,2009/09/14,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
255,2009/09/15,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
256,2009/09/16,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
257,2009/09/17,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
258,2009/09/18,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
259,2009/09/19,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
260,2009/09/20,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
261,2009/09/21,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
262,2009/09/22,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
263,2009/09/23,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
264,2009/09/24,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
265,2009/09/25,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
266,2009/09/26,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
