,difficulty,block_size,av_transaction_value,confirmation_time,median_transaction_size,hashrate,top_100_percent,mining_profitability,google_trends,fee_reward,transactions,av_transaction_size,send_usd,median_transaction_value,active_addresses,sent_addresses,date,tweets,market_cap,full_name,coin
180,,,,,,,,,,,,,,,,,2015/01/07,1,155252,stealthcoin,stealthcoin
181,,,,,,,,,,,,,,,,,2015/01/08,null,158802,stealthcoin,stealthcoin
182,,,,,,,,,,,,,,,,,2015/01/09,null,169914,stealthcoin,stealthcoin
183,,,,,,,,,,,,,,,,,2015/01/10,null,162835,stealthcoin,stealthcoin
184,,,,,,,,,,,,,,,,,2015/01/11,null,161196,stealthcoin,stealthcoin
185,,,,,,,,,,,,,,,,,2015/01/12,2,162456,stealthcoin,stealthcoin
186,,,,,,,,,,,,,,,,,2015/01/13,8,130044,stealthcoin,stealthcoin
187,,,,,,,,,,,,,,,,,2015/01/14,null,111506,stealthcoin,stealthcoin
188,,,,,,,,,,,,,,,,,2015/01/15,null,122370,stealthcoin,stealthcoin
189,,,,,,,,,,,,,,,,,2015/01/16,null,127693,stealthcoin,stealthcoin
190,,,,,,,,,,,,,,,,,2015/01/17,1,128489,stealthcoin,stealthcoin
191,,,,,,,,,,,,,,,,,2015/01/18,1,132194,stealthcoin,stealthcoin
192,,,,,,,,,,,,,,,,,2015/01/19,3,143476,stealthcoin,stealthcoin
193,,,,,,,,,,,,,,,,,2015/01/20,4,162309,stealthcoin,stealthcoin
194,,,,,,,,,,,,,,,,,2015/01/21,null,164001,stealthcoin,stealthcoin
195,,,,,,,,,,,,,,,,,2015/01/22,null,180705,stealthcoin,stealthcoin
196,,,,,,,,,,,,,,,,,2015/01/23,1,186728,stealthcoin,stealthcoin
197,,,,,,,,,,,,,,,,,2015/01/24,null,186030,stealthcoin,stealthcoin
198,,,,,,,,,,,,,,,,,2015/01/25,null,188447,stealthcoin,stealthcoin
199,,,,,,,,,,,,,,,,,2015/01/26,null,202270,stealthcoin,stealthcoin
200,,,,,,,,,,,,,,,,,2015/01/27,null,183826,stealthcoin,stealthcoin
201,,,,,,,,,,,,,,,,,2015/01/28,null,177122,stealthcoin,stealthcoin
202,,,,,,,,,,,,,,,,,2015/01/29,null,163435,stealthcoin,stealthcoin
203,,,,,,,,,,,,,,,,,2015/01/30,null,158979,stealthcoin,stealthcoin
204,,,,,,,,,,,,,,,,,2015/01/31,null,153479,stealthcoin,stealthcoin
205,,,,,,,,,,,,,,,,,2015/02/01,8,146242,stealthcoin,stealthcoin
206,,,,,,,,,,,,,,,,,2015/02/02,2,149600,stealthcoin,stealthcoin
207,,,,,,,,,,,,,,,,,2015/02/03,null,147381,stealthcoin,stealthcoin
208,,,,,,,,,,,,,,,,,2015/02/04,2,138540,stealthcoin,stealthcoin
209,,,,,,,,,,,,,,,,,2015/02/05,1,140068,stealthcoin,stealthcoin
210,,,,,,,,,,,,,,,,,2015/02/06,null,137176,stealthcoin,stealthcoin
211,,,,,,,,,,,,,,,,,2015/02/07,null,133685,stealthcoin,stealthcoin
212,,,,,,,,,,,,,,,,,2015/02/08,null,129502,stealthcoin,stealthcoin
