,date,block_size,transactions,sent_addresses,difficulty,median_transaction_size,top_100_percent,av_transaction_value,av_transaction_size,send_usd,median_transaction_value,market_cap,active_addresses,google_trends,mining_profitability,fee_reward,hashrate,confirmation_time,tweets,full_name,coin
95,2009/04/08,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
96,2009/04/09,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
97,2009/04/10,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
98,2009/04/11,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
99,2009/04/12,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
100,2009/04/13,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
101,2009/04/14,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
102,2009/04/15,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
103,2009/04/16,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
104,2009/04/17,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
105,2009/04/18,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
106,2009/04/19,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
107,2009/04/20,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
108,2009/04/21,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
109,2009/04/22,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
110,2009/04/23,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
111,2009/04/24,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
112,2009/04/25,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
113,2009/04/26,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
114,2009/04/27,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
115,2009/04/28,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
116,2009/04/29,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
117,2009/04/30,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
118,2009/05/01,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
119,2009/05/02,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
120,2009/05/03,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
121,2009/05/04,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
122,2009/05/05,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
123,2009/05/06,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
124,2009/05/07,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
125,2009/05/08,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
126,2009/05/09,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
127,2009/05/10,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
128,2009/05/11,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
129,2009/05/12,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
130,2009/05/13,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
131,2009/05/14,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
132,2009/05/15,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
133,2009/05/16,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
134,2009/05/17,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
135,2009/05/18,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
136,2009/05/19,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
137,2009/05/20,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
138,2009/05/21,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
139,2009/05/22,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
140,2009/05/23,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
141,2009/05/24,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
142,2009/05/25,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
143,2009/05/26,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
144,2009/05/27,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
145,2009/05/28,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
146,2009/05/29,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
147,2009/05/30,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
148,2009/05/31,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
149,2009/06/01,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
150,2009/06/02,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
151,2009/06/03,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
152,2009/06/04,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
153,2009/06/05,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
154,2009/06/06,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
155,2009/06/07,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
156,2009/06/08,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
157,2009/06/09,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
158,2009/06/10,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
159,2009/06/11,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
160,2009/06/12,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
161,2009/06/13,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
162,2009/06/14,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
163,2009/06/15,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
164,2009/06/16,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
