,date,transactions,block_size,sent_addresses,difficulty,active_addresses,hashrate,av_transaction_size,send_usd,median_transaction_size,av_transaction_value,median_transaction_value,mining_profitability,confirmation_time,google_trends,top_100_percent,tweets,market_cap,fee_reward,full_name,coin
134,2009/05/17,nullnullnull,134.961nullnull,28nullnull,1nullnull,127nullnull,,,,,,,,,,,,,,isracoin,isracoin
135,2009/05/18,nullnullnull,134.924nullnull,21nullnull,1nullnull,118nullnull,,,,,,,,,,,,,,isracoin,isracoin
136,2009/05/19,nullnullnull,134.884nullnull,15nullnull,1nullnull,86nullnull,,,,,,,,,,,,,,isracoin,isracoin
137,2009/05/20,nullnullnull,134.733nullnull,29nullnull,1nullnull,120nullnull,,,,,,,,,,,,,,isracoin,isracoin
138,2009/05/21,nullnullnull,134.963nullnull,15nullnull,1nullnull,82nullnull,,,,,,,,,,,,,,isracoin,isracoin
139,2009/05/22,nullnullnull,134.967nullnull,10nullnull,1nullnull,61nullnull,,,,,,,,,,,,,,isracoin,isracoin
140,2009/05/23,nullnullnull,134.938nullnull,4nullnull,1nullnull,32nullnull,,,,,,,,,,,,,,isracoin,isracoin
141,2009/05/24,nullnullnull,134.9nullnull,24nullnull,1nullnull,100nullnull,,,,,,,,,,,,,,isracoin,isracoin
142,2009/05/25,nullnullnull,134.954nullnull,19nullnull,1nullnull,109nullnull,,,,,,,,,,,,,,isracoin,isracoin
143,2009/05/26,nullnullnull,134.904nullnull,38nullnull,1nullnull,125nullnull,,,,,,,,,,,,,,isracoin,isracoin
144,2009/05/27,nullnullnull,134.731nullnull,37nullnull,1nullnull,119nullnull,,,,,,,,,,,,,,isracoin,isracoin
145,2009/05/28,nullnullnull,134.884nullnull,16nullnull,1nullnull,95nullnull,,,,,,,,,,,,,,isracoin,isracoin
146,2009/05/29,1nullnull,199.84nullnull,21nullnull,1nullnull,167nullnull,,,,,,,,,,,,,,isracoin,isracoin
147,2009/05/30,nullnullnull,134.716nullnull,20nullnull,1nullnull,109nullnull,,,,,,,,,,,,,,isracoin,isracoin
148,2009/05/31,nullnullnull,135nullnull,24nullnull,1nullnull,96nullnull,,,,,,,,,,,,,,isracoin,isracoin
149,2009/06/01,1nullnull,138.831nullnull,15nullnull,1nullnull,73nullnull,,,,,,,,,,,,,,isracoin,isracoin
150,2009/06/02,nullnullnull,134.91nullnull,15nullnull,1nullnull,111nullnull,,,,,,,,,,,,,,isracoin,isracoin
151,2009/06/03,nullnullnull,135nullnull,9nullnull,1nullnull,71nullnull,,,,,,,,,,,,,,isracoin,isracoin
152,2009/06/04,nullnullnull,134.939nullnull,5nullnull,1nullnull,66nullnull,,,,,,,,,,,,,,isracoin,isracoin
153,2009/06/05,nullnullnull,134.9nullnull,5nullnull,1nullnull,30nullnull,,,,,,,,,,,,,,isracoin,isracoin
154,2009/06/06,nullnullnull,134.286nullnull,1nullnull,1nullnull,28nullnull,,,,,,,,,,,,,,isracoin,isracoin
155,2009/06/07,nullnullnull,134.938nullnull,3nullnull,1nullnull,16nullnull,,,,,,,,,,,,,,isracoin,isracoin
156,2009/06/08,nullnullnull,134.768nullnull,25nullnull,1nullnull,82nullnull,,,,,,,,,,,,,,isracoin,isracoin
157,2009/06/09,nullnullnull,134.802nullnull,25nullnull,1nullnull,91nullnull,,,,,,,,,,,,,,isracoin,isracoin
158,2009/06/10,nullnullnull,134.927nullnull,23nullnull,1nullnull,82nullnull,,,,,,,,,,,,,,isracoin,isracoin
159,2009/06/11,nullnullnull,134.966nullnull,22nullnull,1nullnull,89nullnull,,,,,,,,,,,,,,isracoin,isracoin
160,2009/06/12,nullnullnull,134.86nullnull,23nullnull,1nullnull,86nullnull,,,,,,,,,,,,,,isracoin,isracoin
161,2009/06/13,nullnullnull,134.449nullnull,23nullnull,1nullnull,78nullnull,,,,,,,,,,,,,,isracoin,isracoin
162,2009/06/14,nullnullnull,134.694nullnull,34nullnull,1nullnull,72nullnull,,,,,,,,,,,,,,isracoin,isracoin
163,2009/06/15,nullnullnull,134.952nullnull,26nullnull,1nullnull,84nullnull,,,,,,,,,,,,,,isracoin,isracoin
164,2009/06/16,nullnullnull,134.732nullnull,12nullnull,1nullnull,71nullnull,,,,,,,,,,,,,,isracoin,isracoin
165,2009/06/17,nullnullnull,134.646nullnull,19nullnull,1nullnull,79nullnull,,,,,,,,,,,,,,isracoin,isracoin
166,2009/06/18,nullnullnull,134.813nullnull,22nullnull,1nullnull,80nullnull,,,,,,,,,,,,,,isracoin,isracoin
167,2009/06/19,nullnullnull,134.678nullnull,33nullnull,1nullnull,87nullnull,,,,,,,,,,,,,,isracoin,isracoin
168,2009/06/20,nullnullnull,134.769nullnull,23nullnull,1nullnull,78nullnull,,,,,,,,,,,,,,isracoin,isracoin
169,2009/06/21,nullnullnull,134.765nullnull,25nullnull,1nullnull,81nullnull,,,,,,,,,,,,,,isracoin,isracoin
170,2009/06/22,1nullnull,225.382nullnull,21nullnull,1nullnull,137nullnull,,,,,,,,,,,,,,isracoin,isracoin
171,2009/06/23,nullnullnull,134.566nullnull,19nullnull,1nullnull,76nullnull,,,,,,,,,,,,,,isracoin,isracoin
172,2009/06/24,2nullnull,140.579nullnull,36nullnull,1nullnull,100nullnull,,,,,,,,,,,,,,isracoin,isracoin
173,2009/06/25,1nullnull,168.75nullnull,27nullnull,1nullnull,89nullnull,,,,,,,,,,,,,,isracoin,isracoin
174,2009/06/26,nullnullnull,134.6nullnull,20nullnull,1nullnull,90nullnull,,,,,,,,,,,,,,isracoin,isracoin
175,2009/06/27,nullnullnull,134.833nullnull,22nullnull,1nullnull,84nullnull,,,,,,,,,,,,,,isracoin,isracoin
176,2009/06/28,1nullnull,139.739nullnull,21nullnull,1nullnull,48nullnull,,,,,,,,,,,,,,isracoin,isracoin
177,2009/06/29,1nullnull,137.723nullnull,25nullnull,1nullnull,85nullnull,,,,,,,,,,,,,,isracoin,isracoin
178,2009/06/30,1nullnull,140.047nullnull,26nullnull,1nullnull,89nullnull,,,,,,,,,,,,,,isracoin,isracoin
179,2009/07/01,1nullnull,138.432nullnull,28nullnull,1nullnull,77nullnull,,,,,,,,,,,,,,isracoin,isracoin
180,2009/07/02,1nullnull,137.614nullnull,29nullnull,1nullnull,85nullnull,,,,,,,,,,,,,,isracoin,isracoin
181,2009/07/03,nullnullnull,134.976nullnull,29nullnull,1nullnull,82nullnull,,,,,,,,,,,,,,isracoin,isracoin
182,2009/07/04,nullnullnull,134.876nullnull,32nullnull,1nullnull,89nullnull,,,,,,,,,,,,,,isracoin,isracoin
183,2009/07/05,nullnullnull,134.987nullnull,27nullnull,1nullnull,79nullnull,,,,,,,,,,,,,,isracoin,isracoin
184,2009/07/06,nullnullnull,134.976nullnull,28nullnull,1nullnull,84nullnull,,,,,,,,,,,,,,isracoin,isracoin
