,sent_addresses,transactions,hashrate,av_transaction_size,confirmation_time,block_size,median_transaction_size,median_transaction_value,av_transaction_value,top_100_percent,fee_reward,difficulty,google_trends,send_usd,mining_profitability,active_addresses,date,tweets,market_cap,full_name,coin
144,,,,,,,,,,,,,,,,,2014/10/06,null,,savecoin,savecoin
145,,,,,,,,,,,,,,,,,2014/10/07,null,,savecoin,savecoin
146,,,,,,,,,,,,,,,,,2014/10/08,null,,savecoin,savecoin
147,,,,,,,,,,,,,,,,,2014/10/09,null,,savecoin,savecoin
148,,,,,,,,,,,,,,,,,2014/10/10,null,,savecoin,savecoin
149,,,,,,,,,,,,,,,,,2014/10/11,null,,savecoin,savecoin
150,,,,,,,,,,,,,,,,,2014/10/12,null,,savecoin,savecoin
151,,,,,,,,,,,,,,,,,2014/10/13,null,,savecoin,savecoin
152,,,,,,,,,,,,,,,,,2014/10/14,null,,savecoin,savecoin
153,,,,,,,,,,,,,,,,,2014/10/15,null,,savecoin,savecoin
154,,,,,,,,,,,,,,,,,2014/10/16,null,,savecoin,savecoin
155,,,,,,,,,,,,,,,,,2014/10/17,null,,savecoin,savecoin
156,,,,,,,,,,,,,,,,,2014/10/18,null,,savecoin,savecoin
157,,,,,,,,,,,,,,,,,2014/10/19,null,,savecoin,savecoin
158,,,,,,,,,,,,,,,,,2014/10/20,null,,savecoin,savecoin
159,,,,,,,,,,,,,,,,,2014/10/21,null,,savecoin,savecoin
160,,,,,,,,,,,,,,,,,2014/10/22,null,,savecoin,savecoin
161,,,,,,,,,,,,,,,,,2014/10/23,null,,savecoin,savecoin
162,,,,,,,,,,,,,,,,,2014/10/24,null,,savecoin,savecoin
163,,,,,,,,,,,,,,,,,2014/10/25,null,,savecoin,savecoin
164,,,,,,,,,,,,,,,,,2014/10/26,null,,savecoin,savecoin
165,,,,,,,,,,,,,,,,,2014/10/27,null,,savecoin,savecoin
166,,,,,,,,,,,,,,,,,2014/10/28,null,,savecoin,savecoin
167,,,,,,,,,,,,,,,,,2014/10/29,null,,savecoin,savecoin
168,,,,,,,,,,,,,,,,,2014/10/30,null,,savecoin,savecoin
169,,,,,,,,,,,,,,,,,2014/10/31,null,,savecoin,savecoin
170,,,,,,,,,,,,,,,,,2014/11/01,null,,savecoin,savecoin
171,,,,,,,,,,,,,,,,,2014/11/02,null,,savecoin,savecoin
172,,,,,,,,,,,,,,,,,2014/11/03,null,,savecoin,savecoin
173,,,,,,,,,,,,,,,,,2014/11/04,null,,savecoin,savecoin
174,,,,,,,,,,,,,,,,,2014/11/05,null,,savecoin,savecoin
175,,,,,,,,,,,,,,,,,2014/11/06,null,,savecoin,savecoin
176,,,,,,,,,,,,,,,,,2014/11/07,null,,savecoin,savecoin
177,,,,,,,,,,,,,,,,,2014/11/08,null,,savecoin,savecoin
178,,,,,,,,,,,,,,,,,2014/11/09,null,,savecoin,savecoin
179,,,,,,,,,,,,,,,,,2014/11/10,null,,savecoin,savecoin
180,,,,,,,,,,,,,,,,,2014/11/11,null,,savecoin,savecoin
181,,,,,,,,,,,,,,,,,2014/11/12,null,,savecoin,savecoin
182,,,,,,,,,,,,,,,,,2014/11/13,null,,savecoin,savecoin
183,,,,,,,,,,,,,,,,,2014/11/14,null,,savecoin,savecoin
184,,,,,,,,,,,,,,,,,2014/11/15,null,,savecoin,savecoin
185,,,,,,,,,,,,,,,,,2014/11/16,null,,savecoin,savecoin
186,,,,,,,,,,,,,,,,,2014/11/17,null,,savecoin,savecoin
187,,,,,,,,,,,,,,,,,2014/11/18,null,,savecoin,savecoin
188,,,,,,,,,,,,,,,,,2014/11/19,null,,savecoin,savecoin
189,,,,,,,,,,,,,,,,,2014/11/20,null,,savecoin,savecoin
190,,,,,,,,,,,,,,,,,2014/11/21,null,,savecoin,savecoin
191,,,,,,,,,,,,,,,,,2014/11/22,null,,savecoin,savecoin
192,,,,,,,,,,,,,,,,,2014/11/23,null,,savecoin,savecoin
193,,,,,,,,,,,,,,,,,2014/11/24,null,,savecoin,savecoin
194,,,,,,,,,,,,,,,,,2014/11/25,null,,savecoin,savecoin
195,,,,,,,,,,,,,,,,,2014/11/26,null,,savecoin,savecoin
196,,,,,,,,,,,,,,,,,2014/11/27,null,,savecoin,savecoin
197,,,,,,,,,,,,,,,,,2014/11/28,null,,savecoin,savecoin
198,,,,,,,,,,,,,,,,,2014/11/29,null,,savecoin,savecoin
199,,,,,,,,,,,,,,,,,2014/11/30,null,,savecoin,savecoin
200,,,,,,,,,,,,,,,,,2014/12/01,null,,savecoin,savecoin
201,,,,,,,,,,,,,,,,,2014/12/02,null,,savecoin,savecoin
202,,,,,,,,,,,,,,,,,2014/12/03,null,,savecoin,savecoin
203,,,,,,,,,,,,,,,,,2014/12/04,null,,savecoin,savecoin
204,,,,,,,,,,,,,,,,,2014/12/05,null,,savecoin,savecoin
205,,,,,,,,,,,,,,,,,2014/12/06,null,,savecoin,savecoin
206,,,,,,,,,,,,,,,,,2014/12/07,null,,savecoin,savecoin
207,,,,,,,,,,,,,,,,,2014/12/08,null,,savecoin,savecoin
208,,,,,,,,,,,,,,,,,2014/12/09,null,,savecoin,savecoin
209,,,,,,,,,,,,,,,,,2014/12/10,null,,savecoin,savecoin
210,,,,,,,,,,,,,,,,,2014/12/11,null,,savecoin,savecoin
211,,,,,,,,,,,,,,,,,2014/12/12,null,,savecoin,savecoin
212,,,,,,,,,,,,,,,,,2014/12/13,null,,savecoin,savecoin
213,,,,,,,,,,,,,,,,,2014/12/14,null,,savecoin,savecoin
214,,,,,,,,,,,,,,,,,2014/12/15,null,,savecoin,savecoin
215,,,,,,,,,,,,,,,,,2014/12/16,null,,savecoin,savecoin
216,,,,,,,,,,,,,,,,,2014/12/17,null,,savecoin,savecoin
217,,,,,,,,,,,,,,,,,2014/12/18,null,,savecoin,savecoin
218,,,,,,,,,,,,,,,,,2014/12/19,null,,savecoin,savecoin
219,,,,,,,,,,,,,,,,,2014/12/20,null,,savecoin,savecoin
220,,,,,,,,,,,,,,,,,2014/12/21,null,,savecoin,savecoin
221,,,,,,,,,,,,,,,,,2014/12/22,null,,savecoin,savecoin
222,,,,,,,,,,,,,,,,,2014/12/23,null,,savecoin,savecoin
