,transactions,sent_addresses,block_size,hashrate,difficulty,mining_profitability,send_usd,av_transaction_size,median_transaction_size,confirmation_time,av_transaction_value,google_trends,median_transaction_value,active_addresses,top_100_percent,fee_reward,date,tweets,market_cap,full_name,coin
109,,,,,,,,,,,,,,,,,2014/09/17,68,1591773,vericoin,vericoin
110,,,,,,,,,,,,,,,,,2014/09/18,22,1552088,vericoin,vericoin
111,,,,,,,,,,,,,,,,,2014/09/19,114,1421094,vericoin,vericoin
112,,,,,,,,,,,,,,,,,2014/09/20,90,1527409,vericoin,vericoin
113,,,,,,,,,,,,,,,,,2014/09/21,231,1617075,vericoin,vericoin
114,,,,,,,,,,,,,,,,,2014/09/22,49,1537797,vericoin,vericoin
115,,,,,,,,,,,,,,,,,2014/09/23,87,1531244,vericoin,vericoin
116,,,,,,,,,,,,,,,,,2014/09/24,61,1636791,vericoin,vericoin
117,,,,,,,,,,,,,,,,,2014/09/25,50,1563746,vericoin,vericoin
118,,,,,,,,,,,,,,,,,2014/09/26,73,1444548,vericoin,vericoin
119,,,,,,,,,,,,,,,,,2014/09/27,43,1448215,vericoin,vericoin
120,,,,,,,,,,,,,,,,,2014/09/28,64,1403540,vericoin,vericoin
121,,,,,,,,,,,,,,,,,2014/09/29,109,1288796,vericoin,vericoin
122,,,,,,,,,,,,,,,,,2014/09/30,66,1310964,vericoin,vericoin
123,,,,,,,,,,,,,,,,,2014/10/01,263,1368714,vericoin,vericoin
124,,,,,,,,,,,,,,,,,2014/10/02,153,1342453,vericoin,vericoin
125,,,,,,,,,,,,,,,,,2014/10/03,114,1333810,vericoin,vericoin
126,,,,,,,,,,,,,,,,,2014/10/04,78,1190056,vericoin,vericoin
127,,,,,,,,,,,,,,,,,2014/10/05,59,1103468,vericoin,vericoin
128,,,,,,,,,,,,,,,,,2014/10/06,47,1060610,vericoin,vericoin
129,,,,,,,,,,,,,,,,,2014/10/07,86,1068183,vericoin,vericoin
130,,,,,,,,,,,,,,,,,2014/10/08,48,1077236,vericoin,vericoin
131,,,,,,,,,,,,,,,,,2014/10/09,64,1098430,vericoin,vericoin
132,,,,,,,,,,,,,,,,,2014/10/10,48,1009101,vericoin,vericoin
133,,,,,,,,,,,,,,,,,2014/10/11,68,970399,vericoin,vericoin
134,,,,,,,,,,,,,,,,,2014/10/12,50,944826,vericoin,vericoin
135,,,,,,,,,,,,,,,,,2014/10/13,74,1010571,vericoin,vericoin
136,,,,,,,,,,,,,,,,,2014/10/14,51,1130815,vericoin,vericoin
137,,,,,,,,,,,,,,,,,2014/10/15,103,994795,vericoin,vericoin
138,,,,,,,,,,,,,,,,,2014/10/16,90,988016,vericoin,vericoin
139,,,,,,,,,,,,,,,,,2014/10/17,32,918026,vericoin,vericoin
140,,,,,,,,,,,,,,,,,2014/10/18,72,1070041,vericoin,vericoin
141,,,,,,,,,,,,,,,,,2014/10/19,40,1097360,vericoin,vericoin
142,,,,,,,,,,,,,,,,,2014/10/20,146,1084366,vericoin,vericoin
143,,,,,,,,,,,,,,,,,2014/10/21,123,1021448,vericoin,vericoin
144,,,,,,,,,,,,,,,,,2014/10/22,90,982498,vericoin,vericoin
145,,,,,,,,,,,,,,,,,2014/10/23,171,905533,vericoin,vericoin
146,,,,,,,,,,,,,,,,,2014/10/24,39,853271,vericoin,vericoin
147,,,,,,,,,,,,,,,,,2014/10/25,27,831062,vericoin,vericoin
148,,,,,,,,,,,,,,,,,2014/10/26,57,796330,vericoin,vericoin
149,,,,,,,,,,,,,,,,,2014/10/27,35,797043,vericoin,vericoin
150,,,,,,,,,,,,,,,,,2014/10/28,50,767820,vericoin,vericoin
151,,,,,,,,,,,,,,,,,2014/10/29,74,726061,vericoin,vericoin
