,date,transactions,block_size,active_addresses,difficulty,av_transaction_value,send_usd,sent_addresses,top_100_percent,av_transaction_size,confirmation_time,median_transaction_value,market_cap,median_transaction_size,mining_profitability,fee_reward,google_trends,tweets,hashrate,full_name,coin
304,2009/11/03,,,,,,,,,,,,,,,,,,,netcoin,netcoin
305,2009/11/04,,,,,,,,,,,,,,,,,,,netcoin,netcoin
306,2009/11/05,,,,,,,,,,,,,,,,,,,netcoin,netcoin
307,2009/11/06,,,,,,,,,,,,,,,,,,,netcoin,netcoin
308,2009/11/07,,,,,,,,,,,,,,,,,,,netcoin,netcoin
309,2009/11/08,,,,,,,,,,,,,,,,,,,netcoin,netcoin
310,2009/11/09,,,,,,,,,,,,,,,,,,,netcoin,netcoin
311,2009/11/10,,,,,,,,,,,,,,,,,,,netcoin,netcoin
312,2009/11/11,,,,,,,,,,,,,,,,,,,netcoin,netcoin
313,2009/11/12,,,,,,,,,,,,,,,,,,,netcoin,netcoin
314,2009/11/13,,,,,,,,,,,,,,,,,,,netcoin,netcoin
315,2009/11/14,,,,,,,,,,,,,,,,,,,netcoin,netcoin
316,2009/11/15,,,,,,,,,,,,,,,,,,,netcoin,netcoin
317,2009/11/16,,,,,,,,,,,,,,,,,,,netcoin,netcoin
318,2009/11/17,,,,,,,,,,,,,,,,,,,netcoin,netcoin
319,2009/11/18,,,,,,,,,,,,,,,,,,,netcoin,netcoin
320,2009/11/19,,,,,,,,,,,,,,,,,,,netcoin,netcoin
321,2009/11/20,,,,,,,,,,,,,,,,,,,netcoin,netcoin
322,2009/11/21,,,,,,,,,,,,,,,,,,,netcoin,netcoin
323,2009/11/22,,,,,,,,,,,,,,,,,,,netcoin,netcoin
324,2009/11/23,,,,,,,,,,,,,,,,,,,netcoin,netcoin
325,2009/11/24,,,,,,,,,,,,,,,,,,,netcoin,netcoin
326,2009/11/25,,,,,,,,,,,,,,,,,,,netcoin,netcoin
327,2009/11/26,,,,,,,,,,,,,,,,,,,netcoin,netcoin
328,2009/11/27,,,,,,,,,,,,,,,,,,,netcoin,netcoin
329,2009/11/28,,,,,,,,,,,,,,,,,,,netcoin,netcoin
330,2009/11/29,,,,,,,,,,,,,,,,,,,netcoin,netcoin
331,2009/11/30,,,,,,,,,,,,,,,,,,,netcoin,netcoin
332,2009/12/01,,,,,,,,,,,,,,,,,,,netcoin,netcoin
333,2009/12/02,,,,,,,,,,,,,,,,,,,netcoin,netcoin
334,2009/12/03,,,,,,,,,,,,,,,,,,,netcoin,netcoin
335,2009/12/04,,,,,,,,,,,,,,,,,,,netcoin,netcoin
336,2009/12/05,,,,,,,,,,,,,,,,,,,netcoin,netcoin
337,2009/12/06,,,,,,,,,,,,,,,,,,,netcoin,netcoin
338,2009/12/07,,,,,,,,,,,,,,,,,,,netcoin,netcoin
339,2009/12/08,,,,,,,,,,,,,,,,,,,netcoin,netcoin
340,2009/12/09,,,,,,,,,,,,,,,,,,,netcoin,netcoin
341,2009/12/10,,,,,,,,,,,,,,,,,,,netcoin,netcoin
342,2009/12/11,,,,,,,,,,,,,,,,,,,netcoin,netcoin
343,2009/12/12,,,,,,,,,,,,,,,,,,,netcoin,netcoin
344,2009/12/13,,,,,,,,,,,,,,,,,,,netcoin,netcoin
345,2009/12/14,,,,,,,,,,,,,,,,,,,netcoin,netcoin
346,2009/12/15,,,,,,,,,,,,,,,,,,,netcoin,netcoin
347,2009/12/16,,,,,,,,,,,,,,,,,,,netcoin,netcoin
348,2009/12/17,,,,,,,,,,,,,,,,,,,netcoin,netcoin
349,2009/12/18,,,,,,,,,,,,,,,,,,,netcoin,netcoin
350,2009/12/19,,,,,,,,,,,,,,,,,,,netcoin,netcoin
351,2009/12/20,,,,,,,,,,,,,,,,,,,netcoin,netcoin
352,2009/12/21,,,,,,,,,,,,,,,,,,,netcoin,netcoin
353,2009/12/22,,,,,,,,,,,,,,,,,,,netcoin,netcoin
354,2009/12/23,,,,,,,,,,,,,,,,,,,netcoin,netcoin
355,2009/12/24,,,,,,,,,,,,,,,,,,,netcoin,netcoin
356,2009/12/25,,,,,,,,,,,,,,,,,,,netcoin,netcoin
357,2009/12/26,,,,,,,,,,,,,,,,,,,netcoin,netcoin
358,2009/12/27,,,,,,,,,,,,,,,,,,,netcoin,netcoin
359,2009/12/28,,,,,,,,,,,,,,,,,,,netcoin,netcoin
360,2009/12/29,,,,,,,,,,,,,,,,,,,netcoin,netcoin
361,2009/12/30,,,,,,,,,,,,,,,,,,,netcoin,netcoin
362,2009/12/31,,,,,,,,,,,,,,,,,,,netcoin,netcoin
363,2010/01/01,,,,,,,,,,,,,,,,,,,netcoin,netcoin
364,2010/01/02,,,,,,,,,,,,,,,,,,,netcoin,netcoin
365,2010/01/03,,,,,,,,,,,,,,,,,,,netcoin,netcoin
366,2010/01/04,,,,,,,,,,,,,,,,,,,netcoin,netcoin
367,2010/01/05,,,,,,,,,,,,,,,,,,,netcoin,netcoin
