,date,transactions,sent_addresses,block_size,median_transaction_value,confirmation_time,hashrate,market_cap,av_transaction_value,av_transaction_size,mining_profitability,active_addresses,fee_reward,send_usd,top_100_percent,difficulty,google_trends,median_transaction_size,tweets,full_name,coin
109,2009/04/22,,,,,,,,,,,,,,,,,,,bitstar,bitstar
110,2009/04/23,,,,,,,,,,,,,,,,,,,bitstar,bitstar
111,2009/04/24,,,,,,,,,,,,,,,,,,,bitstar,bitstar
112,2009/04/25,,,,,,,,,,,,,,,,,,,bitstar,bitstar
113,2009/04/26,,,,,,,,,,,,,,,,,,,bitstar,bitstar
114,2009/04/27,,,,,,,,,,,,,,,,,,,bitstar,bitstar
115,2009/04/28,,,,,,,,,,,,,,,,,,,bitstar,bitstar
116,2009/04/29,,,,,,,,,,,,,,,,,,,bitstar,bitstar
117,2009/04/30,,,,,,,,,,,,,,,,,,,bitstar,bitstar
118,2009/05/01,,,,,,,,,,,,,,,,,,,bitstar,bitstar
119,2009/05/02,,,,,,,,,,,,,,,,,,,bitstar,bitstar
120,2009/05/03,,,,,,,,,,,,,,,,,,,bitstar,bitstar
121,2009/05/04,,,,,,,,,,,,,,,,,,,bitstar,bitstar
122,2009/05/05,,,,,,,,,,,,,,,,,,,bitstar,bitstar
123,2009/05/06,,,,,,,,,,,,,,,,,,,bitstar,bitstar
124,2009/05/07,,,,,,,,,,,,,,,,,,,bitstar,bitstar
125,2009/05/08,,,,,,,,,,,,,,,,,,,bitstar,bitstar
126,2009/05/09,,,,,,,,,,,,,,,,,,,bitstar,bitstar
127,2009/05/10,,,,,,,,,,,,,,,,,,,bitstar,bitstar
128,2009/05/11,,,,,,,,,,,,,,,,,,,bitstar,bitstar
129,2009/05/12,,,,,,,,,,,,,,,,,,,bitstar,bitstar
130,2009/05/13,,,,,,,,,,,,,,,,,,,bitstar,bitstar
131,2009/05/14,,,,,,,,,,,,,,,,,,,bitstar,bitstar
132,2009/05/15,,,,,,,,,,,,,,,,,,,bitstar,bitstar
133,2009/05/16,,,,,,,,,,,,,,,,,,,bitstar,bitstar
134,2009/05/17,,,,,,,,,,,,,,,,,,,bitstar,bitstar
135,2009/05/18,,,,,,,,,,,,,,,,,,,bitstar,bitstar
136,2009/05/19,,,,,,,,,,,,,,,,,,,bitstar,bitstar
137,2009/05/20,,,,,,,,,,,,,,,,,,,bitstar,bitstar
138,2009/05/21,,,,,,,,,,,,,,,,,,,bitstar,bitstar
139,2009/05/22,,,,,,,,,,,,,,,,,,,bitstar,bitstar
140,2009/05/23,,,,,,,,,,,,,,,,,,,bitstar,bitstar
141,2009/05/24,,,,,,,,,,,,,,,,,,,bitstar,bitstar
142,2009/05/25,,,,,,,,,,,,,,,,,,,bitstar,bitstar
143,2009/05/26,,,,,,,,,,,,,,,,,,,bitstar,bitstar
144,2009/05/27,,,,,,,,,,,,,,,,,,,bitstar,bitstar
145,2009/05/28,,,,,,,,,,,,,,,,,,,bitstar,bitstar
