,date,market_cap,difficulty,active_addresses,sent_addresses,av_transaction_size,transactions,median_transaction_size,confirmation_time,top_100_percent,av_transaction_value,median_transaction_value,fee_reward,send_usd,google_trends,tweets,block_size,mining_profitability,hashrate,full_name,coin
128,2010/11/22,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
129,2010/11/23,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
130,2010/11/24,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
131,2010/11/25,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
132,2010/11/26,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
133,2010/11/27,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
134,2010/11/28,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
135,2010/11/29,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
136,2010/11/30,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
137,2010/12/01,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
138,2010/12/02,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
139,2010/12/03,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
140,2010/12/04,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
141,2010/12/05,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
142,2010/12/06,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
143,2010/12/07,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
144,2010/12/08,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
145,2010/12/09,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
146,2010/12/10,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
147,2010/12/11,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
148,2010/12/12,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
149,2010/12/13,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
150,2010/12/14,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
151,2010/12/15,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
152,2010/12/16,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
153,2010/12/17,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
154,2010/12/18,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
155,2010/12/19,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
156,2010/12/20,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
157,2010/12/21,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
158,2010/12/22,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
159,2010/12/23,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
160,2010/12/24,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
161,2010/12/25,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
162,2010/12/26,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
163,2010/12/27,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
164,2010/12/28,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
165,2010/12/29,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
166,2010/12/30,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
167,2010/12/31,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
168,2011/01/01,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
169,2011/01/02,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
170,2011/01/03,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
171,2011/01/04,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
172,2011/01/05,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
173,2011/01/06,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
174,2011/01/07,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
175,2011/01/08,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
176,2011/01/09,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
177,2011/01/10,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
178,2011/01/11,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
179,2011/01/12,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
180,2011/01/13,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
181,2011/01/14,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
182,2011/01/15,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
183,2011/01/16,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
184,2011/01/17,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
185,2011/01/18,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
186,2011/01/19,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
187,2011/01/20,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
188,2011/01/21,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
189,2011/01/22,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
190,2011/01/23,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
191,2011/01/24,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
192,2011/01/25,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
193,2011/01/26,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
194,2011/01/27,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
195,2011/01/28,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
196,2011/01/29,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
197,2011/01/30,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
198,2011/01/31,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
199,2011/02/01,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
200,2011/02/02,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
201,2011/02/03,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
202,2011/02/04,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
203,2011/02/05,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
204,2011/02/06,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
205,2011/02/07,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
206,2011/02/08,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
207,2011/02/09,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
208,2011/02/10,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
209,2011/02/11,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
210,2011/02/12,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
211,2011/02/13,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
212,2011/02/14,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
213,2011/02/15,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
214,2011/02/16,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
215,2011/02/17,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
216,2011/02/18,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
217,2011/02/19,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
218,2011/02/20,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
219,2011/02/21,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
220,2011/02/22,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
221,2011/02/23,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
222,2011/02/24,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
223,2011/02/25,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
224,2011/02/26,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
225,2011/02/27,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
226,2011/02/28,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
227,2011/03/01,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
228,2011/03/02,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
229,2011/03/03,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
230,2011/03/04,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
231,2011/03/05,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
232,2011/03/06,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
233,2011/03/07,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
234,2011/03/08,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
235,2011/03/09,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
236,2011/03/10,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
237,2011/03/11,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
238,2011/03/12,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
239,2011/03/13,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
240,2011/03/14,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
241,2011/03/15,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
242,2011/03/16,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
243,2011/03/17,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
244,2011/03/18,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
245,2011/03/19,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
246,2011/03/20,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
247,2011/03/21,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
248,2011/03/22,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
249,2011/03/23,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
250,2011/03/24,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
251,2011/03/25,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
252,2011/03/26,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
253,2011/03/27,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
254,2011/03/28,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
255,2011/03/29,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
256,2011/03/30,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
257,2011/03/31,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
