,date,sent_addresses,transactions,confirmation_time,block_size,av_transaction_size,market_cap,median_transaction_size,mining_profitability,hashrate,send_usd,top_100_percent,median_transaction_value,google_trends,av_transaction_value,fee_reward,difficulty,tweets,active_addresses,full_name,coin
125,2009/05/14,,,,,,,,,,,,,,,,,,,iconomi,iconomi
126,2009/05/15,,,,,,,,,,,,,,,,,,,iconomi,iconomi
127,2009/05/16,,,,,,,,,,,,,,,,,,,iconomi,iconomi
128,2009/05/17,,,,,,,,,,,,,,,,,,,iconomi,iconomi
129,2009/05/18,,,,,,,,,,,,,,,,,,,iconomi,iconomi
130,2009/05/19,,,,,,,,,,,,,,,,,,,iconomi,iconomi
131,2009/05/20,,,,,,,,,,,,,,,,,,,iconomi,iconomi
132,2009/05/21,,,,,,,,,,,,,,,,,,,iconomi,iconomi
133,2009/05/22,,,,,,,,,,,,,,,,,,,iconomi,iconomi
134,2009/05/23,,,,,,,,,,,,,,,,,,,iconomi,iconomi
135,2009/05/24,,,,,,,,,,,,,,,,,,,iconomi,iconomi
136,2009/05/25,,,,,,,,,,,,,,,,,,,iconomi,iconomi
137,2009/05/26,,,,,,,,,,,,,,,,,,,iconomi,iconomi
138,2009/05/27,,,,,,,,,,,,,,,,,,,iconomi,iconomi
139,2009/05/28,,,,,,,,,,,,,,,,,,,iconomi,iconomi
140,2009/05/29,,,,,,,,,,,,,,,,,,,iconomi,iconomi
141,2009/05/30,,,,,,,,,,,,,,,,,,,iconomi,iconomi
142,2009/05/31,,,,,,,,,,,,,,,,,,,iconomi,iconomi
143,2009/06/01,,,,,,,,,,,,,,,,,,,iconomi,iconomi
144,2009/06/02,,,,,,,,,,,,,,,,,,,iconomi,iconomi
145,2009/06/03,,,,,,,,,,,,,,,,,,,iconomi,iconomi
146,2009/06/04,,,,,,,,,,,,,,,,,,,iconomi,iconomi
147,2009/06/05,,,,,,,,,,,,,,,,,,,iconomi,iconomi
148,2009/06/06,,,,,,,,,,,,,,,,,,,iconomi,iconomi
149,2009/06/07,,,,,,,,,,,,,,,,,,,iconomi,iconomi
150,2009/06/08,,,,,,,,,,,,,,,,,,,iconomi,iconomi
151,2009/06/09,,,,,,,,,,,,,,,,,,,iconomi,iconomi
152,2009/06/10,,,,,,,,,,,,,,,,,,,iconomi,iconomi
153,2009/06/11,,,,,,,,,,,,,,,,,,,iconomi,iconomi
154,2009/06/12,,,,,,,,,,,,,,,,,,,iconomi,iconomi
155,2009/06/13,,,,,,,,,,,,,,,,,,,iconomi,iconomi
156,2009/06/14,,,,,,,,,,,,,,,,,,,iconomi,iconomi
157,2009/06/15,,,,,,,,,,,,,,,,,,,iconomi,iconomi
