,date,sent_addresses,difficulty,av_transaction_value,median_transaction_value,av_transaction_size,transactions,mining_profitability,send_usd,market_cap,active_addresses,confirmation_time,block_size,median_transaction_size,tweets,top_100_percent,hashrate,google_trends,fee_reward,full_name,coin
97,2014/03/15,32224,1091,483.388,12.167,,17431,3803,8294959,50452151,,1.016,7736,,,,77625742332,1.768,,dogecoin,doge
98,2014/03/16,32590,1050,592.865,8.595,,18996,3887,11207998,49535817,,1.035,9101,,,,75076365651,1.791,,dogecoin,doge
99,2014/03/17,31427,1034,450.576,9.434,,17742,3767,7888910,47181234,,1.023,10888,,,,72685804037,1.646,,dogecoin,doge
100,2014/03/18,34282,991.217,503.194,14.962,,19980,3812,9972094,46941767,,1.084,10447,,,,66970162350,1.79,,dogecoin,doge
101,2014/03/19,32951,1058,705.065,11.477,,19238,3720,13492523,48365840,,1.071,9849,,,,71016600326,2,,dogecoin,doge
102,2014/03/20,31952,1117,727.434,9.99,,18187,3321,13079500,45596821,,1.074,9250,,,,75134295880,2.67,,dogecoin,doge
103,2014/03/21,30783,1183,660.728,11.706,,18044,2985,11766573,44066471,,1.091,9065,,,,78631872504,2.228,,dogecoin,doge
104,2014/03/22,28385,1189,698.806,11.208,,16365,2885,11401863,42910367,,1.064,8208,,,,80032595104,2.069,,dogecoin,doge
105,2014/03/23,29839,1133,1669,16.075,,18080,2966,29318141,42721972,,1.088,12132,,,,75581525716,1.713,,dogecoin,doge
106,2014/03/24,34721,1079,1627,18.25,,21176,3042,34208799,41650019,,1.078,10141,,,,71984815120,1.847,,dogecoin,doge
107,2014/03/25,33096,1108,1353,13.025,,19521,2962,26315468,41402461,,1.078,9793,,,,74372816424,2.165,,dogecoin,doge
108,2014/03/26,35352,1056,821.244,9.79,,22413,3037,18390048,40925879,,1.085,10510,,,,70453598598,1.928,,dogecoin,doge
109,2014/03/27,32155,988.428,601.194,12.884,,18900,2887,11229128,36010247,,1.101,10427,,,,65314425361,2.34,,dogecoin,doge
110,2014/03/28,32256,983.515,639.77,10.905,,19223,2646,12160302,34192099,,1.098,9355,,,,64375208482,2.368,,dogecoin,doge
111,2014/03/29,33360,1059,429.061,7.753,,19902,2686,8458273,38571697,,1.071,9488,,,,71008979821,1.763,,dogecoin,doge
112,2014/03/30,30463,1099,387.085,7.498,,18341,2493,7091251,35926913,,1.083,8529,,,,73555609179,1.594,,dogecoin,doge
113,2014/03/31,31005,1096,347.817,7.765,,18686,2352,6407330,34194573,,1.089,10471,,,,72577222041,1.399,,dogecoin,doge
114,2014/04/01,31391,1105,300.148,8.604,,18171,2364,5373643,35014266,,1.112,9090,,,,72348865600,1.416,,dogecoin,doge
115,2014/04/02,32722,1101,592.014,10.818,,19352,2293,11405971,31972349,,1.096,9010,,,,71790989329,1.372,,dogecoin,doge
116,2014/04/03,30970,1081,412.04,10.842,,18745,2017,7678684,29263347,,1.089,9368,,,,72205179667,1.348,,dogecoin,doge
117,2014/04/04,31688,1120,363.56,8.945,,19834,2046,7192520,30793268,,1.115,10424,,,,73150522175,1.251,,dogecoin,doge
118,2014/04/05,28642,1104,240.121,7.261,,18125,2105,4326451,30925021,,1.121,8459,,,,70339482029,1.319,,dogecoin,doge
119,2014/04/06,30928,1127,163.83,4.092,,20098,1998,3277794,31303417,,1.141,9358,,,,73207452342,1.337,,dogecoin,doge
120,2014/04/07,31091,1108,212.073,6.753,,19302,2084,3987524,30956132,,1.115,9253,,,,70945479896,1.146,,dogecoin,doge
121,2014/04/08,28085,1095,250.668,11.069,,18320,2090,4566808,30417971,,1.097,8834,,,,71032364817,1.247,,dogecoin,doge
122,2014/04/09,28552,1084,333.179,8.867,,17915,2033,5960139,30058601,,1.126,8221,,986,,69719180497,1.267,,dogecoin,doge
123,2014/04/10,29384,1035,235.497,9.34,,18889,1887,4358731,25885448,,1.117,10947,,2457,,67335717370,1.577,,dogecoin,doge
124,2014/04/11,29844,1041,179.823,7.26,,19640,1902,3527657,27779341,,1.104,8881,,3327,,68177196861,1.364,,dogecoin,doge
125,2014/04/12,26885,1045,172.437,8.438,,16898,2061,2906253,29286351,,1.115,7552,,1614,,67053039133,1.223,,dogecoin,doge
126,2014/04/13,27182,1030,165.406,5.166,,17288,1952,2822154,26823793,,1.088,7686,,2287,,67591834679,1.162,,dogecoin,doge
127,2014/04/14,29540,1032,185.326,6.14,,19706,2007,3551799,29982013,,1.122,11964,,3056,,67629619412,1.094,,dogecoin,doge
128,2014/04/15,30583,1044,437.278,12.805,,19981,2443,8688327,37539635,,1.105,10262,,3535,,67392916465,1.127,,dogecoin,doge
129,2014/04/16,34256,1183,538.836,12.451,,23541,2858,12524902,48071848,,1.091,13030,,4672,,78229867991,1.777,,dogecoin,doge
130,2014/04/17,30369,1183,636.186,15.139,,20025,2810,12680368,45965734,,1.079,10249,,2910,,78549444471,1.28,,dogecoin,doge
131,2014/04/18,28521,1063,445.313,17.551,,18454,2867,8163563,42673413,,1.091,9098,,2974,,70924582988,1.226,,dogecoin,doge
