,date,sent_addresses,send_usd,difficulty,top_100_percent,block_size,median_transaction_value,av_transaction_size,median_transaction_size,confirmation_time,market_cap,hashrate,transactions,fee_reward,mining_profitability,active_addresses,google_trends,av_transaction_value,tweets,full_name,coin
121,2009/05/10,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
122,2009/05/11,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
123,2009/05/12,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
124,2009/05/13,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
125,2009/05/14,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
126,2009/05/15,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
127,2009/05/16,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
128,2009/05/17,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
129,2009/05/18,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
130,2009/05/19,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
131,2009/05/20,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
132,2009/05/21,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
133,2009/05/22,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
134,2009/05/23,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
135,2009/05/24,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
136,2009/05/25,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
137,2009/05/26,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
138,2009/05/27,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
139,2009/05/28,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
140,2009/05/29,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
141,2009/05/30,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
142,2009/05/31,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
143,2009/06/01,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
144,2009/06/02,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
145,2009/06/03,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
146,2009/06/04,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
147,2009/06/05,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
148,2009/06/06,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
149,2009/06/07,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
150,2009/06/08,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
151,2009/06/09,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
