,block_size,transactions,hashrate,mining_profitability,median_transaction_size,send_usd,confirmation_time,av_transaction_value,median_transaction_value,active_addresses,fee_reward,top_100_percent,date,market_cap,av_transaction_size,sent_addresses,difficulty,tweets,google_trends,full_name,coin
108,,,,,,,,,,,,,2014/08/05,33062,,,,null,,execoin,execoin
109,,,,,,,,,,,,,2014/08/06,25214,,,,2,,execoin,execoin
110,,,,,,,,,,,,,2014/08/07,null,,,,1,,execoin,execoin
111,,,,,,,,,,,,,2014/08/08,null,,,,7,,execoin,execoin
112,,,,,,,,,,,,,2014/08/09,35353,,,,null,,execoin,execoin
113,,,,,,,,,,,,,2014/08/10,32350,,,,null,,execoin,execoin
114,,,,,,,,,,,,,2014/08/11,null,,,,2,,execoin,execoin
115,,,,,,,,,,,,,2014/08/12,24606,,,,null,,execoin,execoin
116,,,,,,,,,,,,,2014/08/13,22292,,,,null,,execoin,execoin
117,,,,,,,,,,,,,2014/08/14,null,,,,null,,execoin,execoin
118,,,,,,,,,,,,,2014/08/15,null,,,,null,,execoin,execoin
119,,,,,,,,,,,,,2014/08/16,null,,,,null,,execoin,execoin
120,,,,,,,,,,,,,2014/08/17,null,,,,null,,execoin,execoin
121,,,,,,,,,,,,,2014/08/18,null,,,,null,,execoin,execoin
122,,,,,,,,,,,,,2014/08/19,null,,,,1,,execoin,execoin
123,,,,,,,,,,,,,2014/08/20,null,,,,null,,execoin,execoin
124,,,,,,,,,,,,,2014/08/21,null,,,,null,,execoin,execoin
125,,,,,,,,,,,,,2014/08/22,null,,,,null,,execoin,execoin
126,,,,,,,,,,,,,2014/08/23,null,,,,null,,execoin,execoin
127,,,,,,,,,,,,,2014/08/24,null,,,,1,,execoin,execoin
128,,,,,,,,,,,,,2014/08/25,null,,,,null,,execoin,execoin
129,,,,,,,,,,,,,2014/08/26,null,,,,null,,execoin,execoin
130,,,,,,,,,,,,,2014/08/27,null,,,,null,,execoin,execoin
131,,,,,,,,,,,,,2014/08/28,null,,,,1,,execoin,execoin
132,,,,,,,,,,,,,2014/08/29,23339,,,,1,,execoin,execoin
133,,,,,,,,,,,,,2014/08/30,null,,,,null,,execoin,execoin
134,,,,,,,,,,,,,2014/08/31,null,,,,null,,execoin,execoin
135,,,,,,,,,,,,,2014/09/01,null,,,,null,,execoin,execoin
136,,,,,,,,,,,,,2014/09/02,null,,,,null,,execoin,execoin
137,,,,,,,,,,,,,2014/09/03,null,,,,null,,execoin,execoin
138,,,,,,,,,,,,,2014/09/04,null,,,,null,,execoin,execoin
139,,,,,,,,,,,,,2014/09/05,null,,,,null,,execoin,execoin
140,,,,,,,,,,,,,2014/09/06,null,,,,null,,execoin,execoin
141,,,,,,,,,,,,,2014/09/07,null,,,,null,,execoin,execoin
142,,,,,,,,,,,,,2014/09/08,null,,,,null,,execoin,execoin
143,,,,,,,,,,,,,2014/09/09,null,,,,null,,execoin,execoin
144,,,,,,,,,,,,,2014/09/10,null,,,,null,,execoin,execoin
145,,,,,,,,,,,,,2014/09/11,null,,,,null,,execoin,execoin
146,,,,,,,,,,,,,2014/09/12,null,,,,null,,execoin,execoin
147,,,,,,,,,,,,,2014/09/13,null,,,,null,,execoin,execoin
148,,,,,,,,,,,,,2014/09/14,null,,,,null,,execoin,execoin
149,,,,,,,,,,,,,2014/09/15,null,,,,null,,execoin,execoin
150,,,,,,,,,,,,,2014/09/16,null,,,,null,,execoin,execoin
151,,,,,,,,,,,,,2014/09/17,null,,,,null,,execoin,execoin
152,,,,,,,,,,,,,2014/09/18,null,,,,null,,execoin,execoin
153,,,,,,,,,,,,,2014/09/19,null,,,,null,,execoin,execoin
154,,,,,,,,,,,,,2014/09/20,21091,,,,null,,execoin,execoin
155,,,,,,,,,,,,,2014/09/21,20096,,,,null,,execoin,execoin
156,,,,,,,,,,,,,2014/09/22,null,,,,null,,execoin,execoin
157,,,,,,,,,,,,,2014/09/23,null,,,,null,,execoin,execoin
158,,,,,,,,,,,,,2014/09/24,null,,,,null,,execoin,execoin
159,,,,,,,,,,,,,2014/09/25,null,,,,null,,execoin,execoin
160,,,,,,,,,,,,,2014/09/26,null,,,,null,,execoin,execoin
161,,,,,,,,,,,,,2014/09/27,19745,,,,null,,execoin,execoin
162,,,,,,,,,,,,,2014/09/28,null,,,,null,,execoin,execoin
163,,,,,,,,,,,,,2014/09/29,null,,,,null,,execoin,execoin
164,,,,,,,,,,,,,2014/09/30,18293,,,,null,,execoin,execoin
165,,,,,,,,,,,,,2014/10/01,18522,,,,null,,execoin,execoin
166,,,,,,,,,,,,,2014/10/02,17465,,,,null,,execoin,execoin
167,,,,,,,,,,,,,2014/10/03,17222,,,,null,,execoin,execoin
168,,,,,,,,,,,,,2014/10/04,14796,,,,null,,execoin,execoin
169,,,,,,,,,,,,,2014/10/05,14572,,,,null,,execoin,execoin
170,,,,,,,,,,,,,2014/10/06,null,,,,null,,execoin,execoin
171,,,,,,,,,,,,,2014/10/07,13781,,,,null,,execoin,execoin
172,,,,,,,,,,,,,2014/10/08,17353,,,,null,,execoin,execoin
173,,,,,,,,,,,,,2014/10/09,18639,,,,null,,execoin,execoin
174,,,,,,,,,,,,,2014/10/10,18011,,,,null,,execoin,execoin
175,,,,,,,,,,,,,2014/04/10,,,,,3,,execoin,execoin
176,,,,,,,,,,,,,2014/04/11,,,,,1,,execoin,execoin
177,,,,,,,,,,,,,2014/04/12,,,,,3,,execoin,execoin
178,,,,,,,,,,,,,2014/04/13,,,,,1,,execoin,execoin
179,,,,,,,,,,,,,2014/04/14,,,,,5,,execoin,execoin
180,,,,,,,,,,,,,2014/04/15,,,,,7,,execoin,execoin
181,,,,,,,,,,,,,2014/04/16,,,,,null,,execoin,execoin
182,,,,,,,,,,,,,2014/04/17,,,,,2,,execoin,execoin
183,,,,,,,,,,,,,2014/04/18,,,,,1,,execoin,execoin
184,,,,,,,,,,,,,2014/10/11,,,,,null,,execoin,execoin
