,transactions,fee_reward,sent_addresses,block_size,hashrate,median_transaction_size,av_transaction_value,date,tweets,top_100_percent,mining_profitability,difficulty,send_usd,av_transaction_size,google_trends,confirmation_time,median_transaction_value,active_addresses,market_cap,full_name,coin
104,,,,,,,,2014/11/02,20,,,,,,,,,,681199,viacoin,viacoin
105,,,,,,,,2014/11/03,17,,,,,,,,,,613448,viacoin,viacoin
106,,,,,,,,2014/11/04,6,,,,,,,,,,539748,viacoin,viacoin
107,,,,,,,,2014/11/05,17,,,,,,,,,,537700,viacoin,viacoin
108,,,,,,,,2014/11/06,14,,,,,,,,,,585266,viacoin,viacoin
109,,,,,,,,2014/11/07,8,,,,,,,,,,558937,viacoin,viacoin
110,,,,,,,,2014/11/08,7,,,,,,,,,,638483,viacoin,viacoin
111,,,,,,,,2014/11/09,6,,,,,,,,,,780749,viacoin,viacoin
112,,,,,,,,2014/11/10,32,,,,,,,,,,757809,viacoin,viacoin
113,,,,,,,,2014/11/11,99,,,,,,,,,,640994,viacoin,viacoin
114,,,,,,,,2014/11/12,54,,,,,,,,,,685723,viacoin,viacoin
115,,,,,,,,2014/11/13,12,,,,,,,,,,752101,viacoin,viacoin
116,,,,,,,,2014/11/14,39,,,,,,,,,,703719,viacoin,viacoin
117,,,,,,,,2014/11/15,64,,,,,,,,,,664888,viacoin,viacoin
118,,,,,,,,2014/11/16,171,,,,,,,,,,638073,viacoin,viacoin
119,,,,,,,,2014/11/17,23,,,,,,,,,,682763,viacoin,viacoin
120,,,,,,,,2014/11/18,5,,,,,,,,,,650280,viacoin,viacoin
121,,,,,,,,2014/11/19,8,,,,,,,,,,639491,viacoin,viacoin
122,,,,,,,,2014/11/20,9,,,,,,,,,,600441,viacoin,viacoin
123,,,,,,,,2014/11/21,2,,,,,,,,,,572775,viacoin,viacoin
124,,,,,,,,2014/11/22,5,,,,,,,,,,580844,viacoin,viacoin
125,,,,,,,,2014/11/23,5,,,,,,,,,,575923,viacoin,viacoin
126,,,,,,,,2014/11/24,29,,,,,,,,,,563001,viacoin,viacoin
127,,,,,,,,2014/11/25,16,,,,,,,,,,549955,viacoin,viacoin
128,,,,,,,,2014/11/26,7,,,,,,,,,,521561,viacoin,viacoin
129,,,,,,,,2014/11/27,25,,,,,,,,,,506821,viacoin,viacoin
130,,,,,,,,2014/11/28,22,,,,,,,,,,505668,viacoin,viacoin
131,,,,,,,,2014/11/29,13,,,,,,,,,,487072,viacoin,viacoin
132,,,,,,,,2014/11/30,21,,,,,,,,,,472373,viacoin,viacoin
133,,,,,,,,2014/12/01,36,,,,,,,,,,466608,viacoin,viacoin
134,,,,,,,,2014/12/02,18,,,,,,,,,,479627,viacoin,viacoin
135,,,,,,,,2014/12/03,6,,,,,,,,,,484721,viacoin,viacoin
