,transactions,difficulty,sent_addresses,hashrate,av_transaction_size,mining_profitability,send_usd,median_transaction_size,confirmation_time,av_transaction_value,median_transaction_value,active_addresses,fee_reward,top_100_percent,date,tweets,block_size,google_trends,market_cap,full_name,coin
153,,,,,,,,,,,,,,,2014/09/09,2,,,,einsteinium,einsteinium
154,,,,,,,,,,,,,,,2014/09/10,null,,,,einsteinium,einsteinium
155,,,,,,,,,,,,,,,2014/09/11,2,,,,einsteinium,einsteinium
156,,,,,,,,,,,,,,,2014/09/12,2,,,,einsteinium,einsteinium
157,,,,,,,,,,,,,,,2014/09/13,null,,,,einsteinium,einsteinium
158,,,,,,,,,,,,,,,2014/09/14,2,,,,einsteinium,einsteinium
159,,,,,,,,,,,,,,,2014/09/15,1,,,,einsteinium,einsteinium
160,,,,,,,,,,,,,,,2014/09/16,null,,,,einsteinium,einsteinium
161,,,,,,,,,,,,,,,2014/09/17,1,,,,einsteinium,einsteinium
162,,,,,,,,,,,,,,,2014/09/18,null,,,,einsteinium,einsteinium
163,,,,,,,,,,,,,,,2014/09/19,2,,,,einsteinium,einsteinium
164,,,,,,,,,,,,,,,2014/09/20,1,,,,einsteinium,einsteinium
165,,,,,,,,,,,,,,,2014/09/21,null,,,,einsteinium,einsteinium
166,,,,,,,,,,,,,,,2014/09/22,null,,,,einsteinium,einsteinium
167,,,,,,,,,,,,,,,2014/09/23,null,,,,einsteinium,einsteinium
168,,,,,,,,,,,,,,,2014/09/24,null,,,,einsteinium,einsteinium
169,,,,,,,,,,,,,,,2014/09/25,null,,,,einsteinium,einsteinium
170,,,,,,,,,,,,,,,2014/09/26,null,,,,einsteinium,einsteinium
171,,,,,,,,,,,,,,,2014/09/27,null,,,,einsteinium,einsteinium
172,,,,,,,,,,,,,,,2014/09/28,1,,,,einsteinium,einsteinium
173,,,,,,,,,,,,,,,2014/09/29,null,,,,einsteinium,einsteinium
174,,,,,,,,,,,,,,,2014/09/30,null,,,,einsteinium,einsteinium
175,,,,,,,,,,,,,,,2014/10/01,null,,,,einsteinium,einsteinium
176,,,,,,,,,,,,,,,2014/10/02,2,,,,einsteinium,einsteinium
177,,,,,,,,,,,,,,,2014/10/03,1,,,,einsteinium,einsteinium
178,,,,,,,,,,,,,,,2014/10/04,null,,,,einsteinium,einsteinium
179,,,,,,,,,,,,,,,2014/10/05,null,,,,einsteinium,einsteinium
